Username,Stars,Time,Text,Images
Leon H,5,5 個月前,"小高拉麵｜公館分店

這一間看很久,一直沒來吃,覺得就是便宜拉麵🍜 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1tij3_X17_FH6c1tjzSxiHTNf_Set1BEjykLOlUeCx8fgtuLv1zm9OULuCyy8_OA5sb92HF5ha2Zt0p2qV4nkUR3DFrU_1pxtygo1Vx35c6Civ5umLXJkZwiraVRlrN-larLqeCpfS1nhp=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2OwmWc-OBJBeI8SBwpBwqtQYaELW_QV5DhaKy2HcKA1AVJGuLGl-sZNIHhS3nO4Z4d7e3YhiHcf8VopipVcXFJrpAKXHFaJSJbXCywndKrbgizUaYvlAVeKgy6_sJdFrEYzvsZoFC2b2cK=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1scoBe3ETvtCL79YV0U013hpy7p4dHc-Eqhk_Q2-rKHqRvJPvKAse3zODzscMdN2hVSlcjAFcR9Rq7GjYs8Zi2w3dNnK34XDr_cBnI6sbxxS_f0CQZeKzw6h_3jl7Vk1wz2kQi_LZK6O0S=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn17QtWZMCGLHBrHdU7TRK9K0u3i9Qm-bYqkyuLerHEdaGi2ThfXa5VOMla_83DOmGfoBB9VrLqOLW2jzI_QldSEy7O-hFHvkwRI8XWwf2zKxF938s0wYsnfsYOvYAL28beKYl5MuERjtrXe=w300-h225-p-k-no"
成天樂《 10級在地嚮導 》,4,3 個月前,"永和拉麵名店，跨足於公館地區，以澎湃份量聞名，係學生族群的好朋友。濃郁叉燒，佐以爆量蔥花，醣心蛋軟嫩滑順，麵條亦緊緻彈牙
惟脆筍過鹹，以及肉片份量雖多，然火候略顯過頭，邊緣呈現些許焦黑。但整體來說，是下班下課後的小確幸。","https://lh3.googleusercontent.com/grass-cs/ANxoTn15I9LV4SjDSNalWCnrrU7fiyZuElhnCmMvrq7rsngl8wLQ5OuopTNSkFo8VmF15OjkOrOsSWlqp54oQdpmSuhX9GGPhNC7PP613H6NS0LFFhl-C5bd5hBVJM25gWOarYL1EL_vXnxM2m1R=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3Oo25MdW-mCLGoroFMs0Ct2onCm16xZq1y8RYOua_oZ1v-AZ8aiGE6VWQbSeNDN8P5vEhyt9Uk95SfX3kXFfFGer5KiamKkEXgetm_fyqk5PBXEQaQ3X3YuHlrACLgklL86HJ0DfO5zL5J=w300-h450-p-k-no"
Jason Chen,5,5 個月前,麵跟湯都很好吃，價格便宜還可以一直加麵，甜點綠豆湯也很好喝，值得推薦。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1YDGksu8ZVOBqSDjN0xtRhL4tdP9NY4qMarpE_sNjFr-VTsUreR68idR2g5Z_fMrK4z1z6Eqp21krsiQOOllfwDyp8uxCOsnDOMr5F-7-gcQEjALBX3WyemTk7IjzLXs5J19wDBn0B2iM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0gk3Pm53vJs6TtZ0AC_mGzDSW0zEHh_ofS6JtGVn3tjxZ11mA4OIaa_uFaaSb82YdVh9hKpWD5vm9jCOguMown72bXgU_YQBheCNej5WFw5ZjUdllwXsgAYkCywSKPS4ZrHdTwDDg8kRqk=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn031AgcZBjXyyMn5RuGW6dvzkN3HYWxUfcFswi5xd72Xoqgjovy7tk9qyePEbd8v3w0Cx3V5Zvb66QGpJwFwsCgc6HT4MC-IXyzbuKjw9KcmWjlE2DtldISJbB7oAM79VTL5ZI3egg_Ne-P=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ZxU6JV34X6mvYhZrFLrNxeKCpGAf0m4XYOw80ZSHeXC-dfnRlTEirUsiITXO_AnjHTSiNeSThjdbS4cILGoZFL8-CK54lkx0sabkSZjcHBlgf5TkXhFfO8HOWqTwSN91Y-5R7LtQri316=w300-h225-p-k-no"
曾浩賓,5,3 個月前,"蔥多給的很爽，這點給讚。
有一整顆的糖心蛋，辣筍子，內用麵可以自己盛，還有甜甜的綠豆湯（覺得有點太甜🤫），整體還不錯。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2smz39ptsbh5IoEZsznCGRSoIwfBSbv4pMi_NYNHZUm0DwRWXEJWM71Hfp6MtZ3ZEKV1or57eiWiB02FQjHZ3fFwUVMllYmuzxgRUbSxU4VmFD5K0xOngHXiIsDwcpCq4fy_J6hmfZTPxW=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1NpC0isFYUXgQ4Tmhzq7l_xliBopbHn1WfwGfShE-P_LFWpsIVxZxJLpoDiYYQJ8-8wXeF1Vbcsji-s2yd-TlwILQf7HfV5p_4wwlZKezPDzJsugYX2XFbI2uh45Y3wdbSFAkqf5XmKMie=w300-h450-p-k-no"
K L,4,上次編輯：6 個月前,"經濟實惠的拉麵.吃過其他分店只有這間有自助的綠豆湯.很好喝.燉得剛剛好！
非常加分.店員也會時不時詢問是否需加麵
貼心～","https://lh3.googleusercontent.com/grass-cs/ANxoTn2E3FftIwmFQdySQ19r3Okw4o0ZHmxT0c8ZexEHXpteFfB2-Rky-ISgJllrpP1scJ1uwl_BUEnjKkz-i8xS6rYN-T4cpIWaEYc4jDqz9hOnzVS2U_KiZeZrGd1Dx9z-8IWKFN8g8atHfMo=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0fK8aNMrFGv1UMM3X0aZ3XFreHxLgzfzaOvGfdwuF-by8i4wUmHAI_4SbUbD-wkytpAR0JsQ9fKCxldvSz8N6bLAVsK1Cn0BXrvQ71f5QOoKn5peHoMR8VrGtvNueM9gS15LS5Z45eJKva=w300-h450-p-k-no"
Skayzi LE,5,2 個月前,我真的很愛你們的拉麵，可以來新店市區開店嗎？七張或大坪林捷運站附近。不然我媽要一直載我到公館，永和，中和吃，我不想一直麻煩她，謝謝你們，希望老闆有看到。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3IKL1_5jwOeZYbf0OjXj6D4_9WHAlib7mX1uyY8HRaVGUb8_GGkKchQPFKojBjEG5HY5KCpl07SQeK-fZqyNNE6dvrocoGiszRv14BXDmbACtihqLwAtWOQDe6Ma1TQ0EaC2hVrlnDEQxI=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3nA-f5b1vYecYfUrLQr-RocCGznPMyxp3iImA5lO6x1WTgczHeDfyqkJ2s5-QSr2pxD25UyeYLP6Y7aYWIYJu4_X1b_BS4KUqBAkQ9-_19Xkcv-mtPlBLJn3S5LnGG2OWWfCwDisxoNwls=w300-h450-p-k-no"
James Yuan,5,2 個月前,麵的口感很好，湯頭也非常濃郁好喝，而且可以客製化隨自己的口味而變。免費的綠豆湯也不錯吃。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1K29eZovyKUh_LnMyJLBgdLFW0nbc8QreeADW3XE_j916NvylAkoeBZGxbtqRbzxkpfFi83oDGtUExvcgWE2k9k2tC7ihn5eJOB8MUHanWrHUfxaEjjIx1sFAdD8dMaoyiSluHJhMXty4=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rrnfRhHoiNp1N7KM16gxbBx3_eeuQpwJ9YZK2kKIzNuJA3jS40EXM8G_XFDlU3PDPz1WTksiT6nh3rYf0ycPQz57ES4LccT15NgxpdunaI_9XprA_l_cj3L8wapy70CR5S2z70Dw6ScBA=w300-h450-p-k-no"
Sophie,5,5 個月前,"以這個價格只能說cp值超高
拉麵味道不死鹹 湯頭順口濃厚
麵條很Q 有嚼勁 還可以免費加麵 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3KBPgyX7dFhEHO4Jdun8aHxw0X8N5WZCdcstbRcuWvxDOvxY5Dth-AmozY0DAV01SNk6OByRWHek_XgkVj2VcsqrzFFYkjoHz_Imb6Lzrzpbr4MXAQphuNdBn_I8NCPNSdkDLrtPt8MoO-=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0IRHKQ8_Z7MQYwJwVwHQtlYHvu8q1F6Oy8-Y7G-efWszuKIeR3n1_v_KAcwhyBbRHapUwDAWqnjMowYvy-jHFjfSw4t_JC3HgmyyeYTBVTf-C-oqVnMHOG7u9cEMQuQi0PjLLBT7MBqx9v=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3HCwwJnbuVOqycrPOxR_6SBwOzBKMQINqmdCk-rVUbHRiMqV5QXNXc56S-SU6Cl7-KTMOtDUWLdtBkW6fckG2X5NjE7JQy5imr9krwrgqr0bWnlaz8KahBAXoMO5PmfrydnH0ANDOwnGRK=w300-h225-p-k-no"
陳芷柔,1,4 個月前,"我不懂欸，我點了外帶然後我湯老早就弄好擺在旁邊了，你們就繼續用內用的，用了好幾碗了，直到我一直盯著你們，你們才把外帶的碗拿起來，用我的麵，離我的麵弄好都快了十分鐘，而且我湯回去都冷掉了是怎樣，你們是要客人盯著才會想起來有哪些還沒做是不是。
你們是要先把內用的弄好才肯用外帶的是嗎，外帶的客人不重要是嗎。
還有，下面這張圖片，左邊（沒加麵）右邊（有加麵），但右邊那碗看起來就比左邊那碗少，你們是在亂加嗎？",https://lh3.googleusercontent.com/grass-cs/ANxoTn1dPn54pkBnS7HeEHKM7qCUpGdR78ER_EacbMKpZpauo-xDuFxT0MJMZ9Ys-CKk1y_ldyzV6MwjUbopiDk-gfsMAHvtMsq9OC-o0GmNwyzN2id4H4zQTblw2KEDk9PGjnM8pZDVLrOJT_Q=w600-h450-p-k-no
Valerie Chang,5,2 個月前,"味道還不錯的平價台拉
同類型、價位取向來看
價格（小高135 ）跟賣相都比隔壁好呷好
氛圍服務就不是這個價位的重點～",https://lh3.googleusercontent.com/grass-cs/ANxoTn03wJiDKZTot5zHAcF91akKQlf_poW3e0nUP4xGUO_veO7LofT2hruzNTwPolLqf_m-YtCpnlAgrT8h2ur0Y-wTzWNU2QZ0ueZK6YhDevPVvo4Vnt1FF83SvU6d1K70Q_uAfNQo4i9Dhsyj=w600-h450-p-k-no
