Username,Stars,Time,Text,Images
張裴書,3,5 個月前,比想像中好吃，但這次沒辦法給太多的客觀評價（那時候太餓然後剛好有拉麵craving）不過整體來說環境乾淨整潔名亮、一碗吃得飽、還有小學生謝謝的小卡就覺得這間店至少不會是什麼很不好的店～ …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0uXYHgP22BEmqoMlhZvzFvNEZa7GfNDLFcQdyxICBBVUDfn7WHhNWhzLol8sL-kfXTZJurlQdouSAQda9JBiE2s6hIQy4AWHkMLId1nKTWK5PpHJxAk2E2V1C5dO8AXBrUeRtDC6VXrxIZ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0YM0iXwA-WKeehE37AcULSgyn-neWrfUlrClA_CC8n8iCJPaitm5SWxf9X_rI8CSeYYEfBDGt-IuyyreQX-YI4q1ypKtPYKhAv1kNNgsNBGh3h3COj4onLgzQQZe3YpAfqC9vif5fWwZog=w300-h450-p-k-no"
Shawn,5,3 個月前,出餐速度快，機器點餐，麵好吃，叉燒飯就 叉燒飯🤣 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3kRLDStQS5P153xxilt9tw3KAfcBWLqcbHDE3JHPapUGh7bgd8jLJvLUhLDIshfhyXm7udYzRmDvV_OX_q5Sjwip2ADG5M7PkEe6uH-Hp4cI41551LnDrPuOhbhcUGbO5DZW684tXSV_iD=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2E2STaP7_i8NJNvTGXPiTSF2oAMgCiUfP-fbhfrFEq-sSs2yUi0cnxw56AEa2Ku8SYiRCmcDtP3vNzKBVjdkwc_4lTnHw2Mki8sOAokc1DtahJvKe9yR9Klr-P5CirG-3YMk8wk3FRXNjk=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3EK1orFtgOz5w33nKVs5NUx5UFaBv3Ssq-N62M3kNthGrF0sE2AfUQx82YPj4UdyKonKc_QKeC6hSQUfUt2DXxSTaShPrCFYjzq0vgc2EkrqNr2qiv0gJIPGgYWJYZFdk6wfDdbwLXXZ5F=w300-h225-p-k-no"
Min-Kuan Wang,4,7 個月前,鹽味拉麵：湯頭本身不夠深厚，尾韻略微死鹹。不過叉燒等配料都處理得不錯。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0FHpRrajz89fxE6-Qj6lbVbTRImh0B_VGdyiZVfgPhggjJJJo5URmlLj8bvbMw9b0JS2CZa6wVzzooHeiDWjrLuX4tvT-Uq8SrWmRkwb9qRBeP94kV2zn8p44xjz2aO0oKLhFdq5d66g5Z=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ayIhMIDMseFfFeWLLyRatGb5suJlrtSsvAWzR8jD5JACbaYjqR4EWPjaxIxGOKNY9s1ftg7Egx_dnMFqY0iS4mOt_S69dTKkdNpBFetx0Xt6R9fvI-vXF3Yx1EybF9U7fu1zUEWWjQTgc=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn37faIC3D3qlbQRJkVJwkPxJsaC8d44y55OcCiJewKDYJU3myLCnravYRiJ2HjfT_tXkulxs1p_jPHdZUWEQ6tgIIdTJxUgEH7FhloMEcOOYnh5t7xGg1LVllh4tbTieDfyGEjb5Znwt5GP=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn32koxo-U8k2K6gyRkfvKr0sUgFBkAi70XSLxmEYfgQj_tHl1wBBG9BlJUdazxcKEwhvVA3FeO7VcseDKoE1EOdphJztWD5mo6jlo4hQizd_3SoCcle16fyEDsfNCDxNkttYtdO2K9hXTc=w300-h225-p-k-no"
Psychopathic Crush,5,9 個月前,"2025.07.09

平日下午兩點半來的，所以客人非常少。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn23qMhx5xJtgv_faIJkHzugdMJa-ujvoKefTt8YhIKrJ4L3g3qOco_PyARdZeTjJwp7Zwe8rVMV_JaifTFKMDSff63DRKZKnylRB5TLmh4R467_AlcBvDYQEMOuV3biwx7PdbW5IPwsKkn3=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ef5Kp1xNBMsxX7mtHpxy37eN1JPG3aVFbax0Z_R0UN_LYuTuf7nXUdHmMfN_MeA0tMbMQ8RIBuJFapFPbQadQicGQDqPDinCaC7kJfYii4vnzLgdqyP0TkhLV81j0icolxh9f9bTanzg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2x5xq_Q3R4Z2Wg2pynabze-7igdCmOp1WnxPGLlC0VaVTBTwkSV3-MTt3Sfh7qCqyESiLFrwNtotOBDUS59eRUYqDlAKVlv_kPcejM1JBYefMq11JO4pVQ64-Nj7h8Eq4ya8mDWoxAKlc=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3IXXPF2fcL5OdOMWjkXgVk8zWvozjEfps0pB7KoJCO2F_atFSbNCaxe5ok71bv5vvdkRYVVKu7y6wztS1NbJdJ2UQ_e6Ra3SCkxYTWl9OyBacnQP7NLn8JEZ0hhmk8D0edJ4voS-Qp_6eL=w300-h225-p-k-no"
Sean Sung,5,6 個月前,"可能是因為連假的關係，中午來用餐人不多，還可以在點餐機前慢慢選。店面很乾淨，玻璃透明到像是未裝上。
點餐是使用點餐機操作。有吧檯桌，也有兩人、四人桌。單人友善。
這次初造訪點了鹽味雞湯拉麵、醬油拉麵跟豚骨拉麵，我覺得豚骨拉麵最好吃！糖心蛋也很夠味。","https://lh3.googleusercontent.com/grass-cs/ANxoTn3k4kr7kXKktfjNs4TWy-ykd3J6PcbfTNHaGLd2RC0FJ86Kx7ulx8RytyYk95-B8ZrWSOq1Imv16cIIxTgXP44X4pjSPl1WUBgpmZgFgfvXQfz7oB0juWZ_mUePRj4a5U6O9_rTJZ0zsxi6=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2T0KzN6T9GSjP5IR-Cl7PitbBxNdjNMBqJnDTnKDJXNTMGXSFeVHMc9gj1V3QxhRazgtGM6ke97KtL3-IzFcBP5Ss4Nt2PRJN3ibgc3f3UAidxTDPmbflelxkbIJzAM-Ii7YZbgmx7DNw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rvtSze_70pFvZjMPc2LuO6vED16MlEcW-HlVccIWHedJmN1cJMnltqzEjahvjRuzyK8Ps39uAYHPzwpsyNUlkC5KwsNL1UY5EQqKYGOw25QJFdzW-d2lZnI70sYqAyR8qVSzeR7gtMV4=w300-h225-p-k-no"
李璟如,4,6 個月前,好吃，但價格不便宜。環境很舒適，用點餐機。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn07OZvphj90xNfFsoecY4ACa7MoJsisgj0iQrb8j8XOXeXBLIn25j68bieXoBEKBnVJtej5RYMEiWtyur7uLZ4FzQfLUV9sX4kyfIaksRJ8F2sIs_H4j4O4d47gBpqbn8USYJJDfcsClhE7=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3qSJixHqt9nffH1pM5-63WCQj20klnkTMzIyLDStw0Rdkeztq4MgCqgk1roLPofkOoi_iTiWx8_cGJLJv_t5o8t_MRLePvwV3oFpj_LDuIVO2JZrhai-ffTpUlx-ZrDOmgjqxaE2JpdqQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2oSES5KPuBHLHhLVU3JEcA2Y2BQfsQQ-8QnFnjDY4CLKHPng_nvvHxLjbGA34N7nhlzh9gjQcR9MwOEUDnngHaOAEURxz3qKsnNJpueMIn41HCuqbMCSCF8a5bPS5ep7cGpjTGd1DTcqSP=w300-h225-p-k-no"
黃淑靖,5,1 年前,"兒子昨天騎車經過一間看起來很厲害的拉麵店，於是今天就來探店～～

「麵屋長樂」位於台大溫州街上（學生過新生南路就到了，路口有一間全家） …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0feqLu9m_2Tyo4Q8wQlCMoknuvLbEy-wJFr3WeCN1KV6vfankOlOtqmW2LVa_DO2yopGb5Y5eLVmJxe0qtpT29amNjzeqxVRkIlkaFjUlgtL9AOruPb2g_FNeOKLjU8aIQwY4Z1A=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2XV738WK16yaizvjoK7e4hwWGrlDv4QiedNS8UeME_1WgdyBO_3Upf4KY8IiRuAUKeZ83OOrWIdH4DfS0-5PGOra6478_tyoi-picrNJazL-QYXQvhUYwpn7TdP-1NFz0N9fMS=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3WWjvZuI6dKUtbwhcBGPAsZVxPJuvXuigwpmBGDWvcrqRzFiGi4u0_FmKTDum99xFEs8QEUqjTin4g9x5eiLRlJqnkgeD-63gnjNdRilOVVFLmtkBut0mCVT8r9kQsK5zxYFs9=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1t0ywiAI2n24tMdpLB_yrGUBNggi6BueD4APOD6tGRsLg83pMfToi9H_ZzZ4-zPcH3Ad6O5YJ2jNW_ktxIqltT1rJuQO_41a8L0lijFCzOiOacfra9VNnwRrXzm6BjtiwAbDlA=w300-h225-p-k-no"
Yuen Tsai,4,5 個月前,"黑蒜油拉麵中規中矩的好吃！麵條是細麵推推，下次想試試看更硬的麵，希望湯可以更燙一點，感覺會超好吃🤩🤩 份量還蠻剛好，女生胃口好一點的吃得完，可以免費加一次麵。
吧台區座位看得到廚房，廚房超級乾淨！ …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0Wv25Q8YyojXxv_HOWrrMgXt0RcgU0vp3nM8Ln03E97YTP1mDRiedgv0lPCgwxPjGGy9dzx0v9yDJB0HF1XU6m3NavIHIP2v1kgpvKtRtnAV2eAve_SWW4orzKpX20ILujF7kHr9Qkbx3k=w600-h450-p-k-no
HH Weng,4,8 個月前,"用餐環境非常乾淨舒適，使用機器點餐後有人帶位。
豚骨湯頭非常濃郁搭配細麵、叉燒、木耳、海苔及溏心蛋，黑蒜油很香。
無法調整濃淡，覺得有點偏鹹。
有自助冰水。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0h5t3bcaXWgTREd8aBs40SNVzK-Zs4NzSu6SC7_LOm0CnCthiWRNH1_ZcCyb77Q3CANE6uzZGFjYFaG4LvGo9l_5tf_GHL_4syr4y-jIKd9nzKH7HVd3GlxeA9mVTxtNv5tJh8NHd9spZY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2HehSQ3procOtmlP7stgZnNRAt7rc_oTrHOk1HhtH0axmNEFSArZLgjhxGSA5toKynyBxU12PtshoqrH7QEJZH8jCZOam5FDDGfWBsP4NYCIzvEFtPK9o3PGt5xaSgl9qubN_Z9_JiohU3=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn22JeK0H7HeerENtToLdKu1bP6TkfyO9gRTKDc0SIBEO44TnEjClwui-UcvsFOtXV4Lc6VKcwgLFb54_0Zz0UbhsRy5REJLRy-nXR6JnGugjzdcQgrhN7PFXMjIYKXzHxOf2a085lRG2vsa=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3up89L6_bRLD9A9pJ6HZ6kfHGcVmOfMtHblELwVCCJx07QPSNVDeaEuIPoKdr5uroZqHvwOP4bao4l5fTl0ac2xTYTvxchUYt2D9OrIv9aRRoVF_M3zYheLUvnWSApb2jbUmmLCwFgVYGr=w300-h225-p-k-no"
肥龍再添Tylor,4,5 個月前,"優：叉燒軟嫩，店員友善，環境明亮
缺：價格偏貴，豚骨湯豬騷味明顯，麵不能選硬度",https://lh3.googleusercontent.com/grass-cs/ANxoTn1_7WeuIHrTgYWr03V-HEWKu4QpvmPgSfeJlp_OldMIMAYFOwXKKz1sYZs_6H7I5arZVw59DMnKfyCCiLZNqceISqyUVz3Y_-UjvZuZn74qyAFI4wpE0yqwQ1K1ENXX_VHmsbSLpB0VfdO_=w600-h450-p-k-no
