Username,Stars,Time,RawTime,Text,Images
王家儀,5,2026-02-19,3 個月前,"大推松露豚骨跟雞白湯豚骨😍
湯頭好喝，開幕內用還能免費加一球麵喔！",https://lh3.googleusercontent.com/grass-cs/ANxoTn18xCeMllULLQiMc94XAkEktb_pw8PpdPkxG1Zum2nETPvhMQcJLG3MBb-phW411xWyS7GZq1T4Z7ozGHHhoL3jZZJIJNYo9VePARTZx-XGQZmn65qNA1yESWy331cWGf6CMNB2xLgcym0=w600-h450-p-k-no
早苗こなな,4,2026-02-19,3 個月前,"松露拉麵很讚 選擇麵硬，有QQ的口感～
咖喱比較可惜，送上來咖喱不是熱的
咖喱有貢菜、花椰菜、蓮藕搭配",https://lh3.googleusercontent.com/grass-cs/ANxoTn0TgyzfqvtyFf7pRA0y6O5iKEP4icRYrCEmLO7RlnlubZCTeX6oKLUrbS0WjtZUYmCpHgPhYs6I5XuDh0Wa4iChrRB_plOZl7vuI7eLs7umAYSMfDpaaz9ww1c64TB1TKCQObOHRUQOQuPN=w600-h450-p-k-no
fifi Huang,4,2026-02-19,3 個月前,"用門口機器點餐（可用line pay 現金支付）
雞白湯豚骨$165不錯，份量味道都剛剛好，叉燒有先炙燒過。
加$30還可以豆花吃到飽（店裡有個甜品自助吧，但我不愛這種自助式的有衛生疑慮）

有提供古早味紅茶/冰水自助（紅茶不錯不苦澀）

提醒店家：（甜點吧區域，桌底，置物籃要固定清潔就更完美了）","https://lh3.googleusercontent.com/grass-cs/ANxoTn2t3lK1JtoSg6oLD1gc7wt5UZtWvjCi9PqXj-PgqPNsdypBwlSUCNwEwJwBuT1dLNCVGv2k_ITcxF9-WM3ThbfftihQ_zV5AfAwGENmrCF-ErUDA3YB_YHyJ4PZggYbsgGhogC2LaAJLj4b=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rzcg98j1BbZLhd7-qXrMG2rSTlay6PrAr27O3_QAzd_3_9yL_QNPBgVQv2zRZUpRllEiw3QJnqlyk_UUYP6UYOnt4sWtW5rg2cJQyBvcaVl5zAvK9nKDUOVZqdNXSyWxEOhBP7dDxVLx7=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2loyvr1jufLC1h5JKSdqa0-HY8eoi-M9WXCyfYa342xyOupLCC5J14pq5sfBBn-zvRyqRb51PFP1gCf0IfjJmX6qdjZbpeh72nM2I1K3ykKWwHXmdP3kKZu15B1wMinYX0jTojdj6_-hmr=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1gg8ATCQbBAX1LNUr1gQQ90VLM4zW2cB--SZWvyvYpdpPNkQBV-LRefReLMxGgj35_gpTtwzs-fz_y-zaQ7gfv6IEBVsfIglDTskbRaAJipvmUmC7juKZcYH32dH35PRyZ3QuGDwAaXB5I=w300-h225-p-k-no"
AJay Chen,5,2026-03-19,2 個月前,"通化街夜市附近的拉麵店
甜點可以自助完全打動我的心❤️
打卡再送小菜必須打起來",https://lh3.googleusercontent.com/grass-cs/ANxoTn0_jtQuKtNaDIKktDlhKs3QC9l5QCk0bdmRDagPFg8oL5L5aRruatuH6hCLgsi1ZkDZLpI4sfzdXsv2ik_MoIW5w64dYPc11CG1t49Al_SJuUU-7tKNAIsLyRlbqedxn3RCIy_xv6I8nuM=w600-h450-p-k-no
Fong-jheng Lin,5,2026-02-19,3 個月前,主餐有拉麵和咖哩，咖哩口味濃郁微辣下飯，松露拉麵、黑金炸雞口味滿特別，份量頗有飽足感，用點菜機點餐，支援Linepay支付。特別的是還有甜點吃到飽（每人+30）。店內空間乾淨明亮，客人不少但翻桌率快。有低消限制，價格以有主餐加甜品吃到飽來說算合理，可以加點單片叉燒、炸蝦和水餃等，滿足選擇障礙者。整體而言是想吃日式正餐又想一次滿足甜點控的好選擇。 #新開幕店家打卡活動,https://lh3.googleusercontent.com/grass-cs/ANxoTn2HgDn6Hk8YiqVwesDgljd-DrUI3t9UJPo3D8UsSy2O17YuVa27-s-aJDYFWQhC6wes0uqUDEaxZR_nNJ1MIgJAW1_85g_fdTA3PlnH-UzK2k0YeHyi9dHDR4gPx9j8YbuIP4wld_hDjgYa=w600-h450-p-k-no
森森張,5,2026-02-19,3 個月前,"自助點餐, 豆花做為甜點不錯
平價的拉麵 會再回購
炸豬排是現炸, 粉體很輕盈. 好吃 。
炸蝦+50元, 給過, 會再回購","https://lh3.googleusercontent.com/grass-cs/ANxoTn2bN0tBCa-oIoUAdZLfzKi5fxOIZVlkoAYWZwq5xEnKmZufKl2RlbalznTE2G1Ah5Dr8EthoUII-HQUkNF3qngzmz-fCT20MpfMnTvGcvHQn_SqdAUUioAA3IOyaw5ylZgbNEw6LbnAE3oB=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3hz50VJzVUMsdPmVfeXvevQuLtDShbXeAv-PLPZzK18UfNF6yGALOlIUf9tEI4WI6pF04t13V-2LalY9-9O2M6Vo9vVt4Z0-Zcnf4Cj2pHZeb4JanKzYWTuV0VTfBegoq2izMWGzBW-R90=w300-h450-p-k-no"
Amanda Ho,5,2026-03-19,2 個月前,"很喜歡甜點的仙草凍！！
拉麵內的蛋是一整顆，好滿足！！","https://lh3.googleusercontent.com/grass-cs/ANxoTn2KQegDy0hNrJRgk24SMxJnbdpRBoI1aIs78diYg8NzEyPsJvNxXcxb4i1mEJ1b3t_0CSKQRTj2Z6Wx8SKYCeIyYwTsH0LPbed4p3N9uYSluTpOExiUHsgGuy49uQ4S2Z3Oa3lcVyOAZo0Z=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0KXtDFauOlVDG8AjOBcKTe2hDDCUHV2TBnHl0OUIfC0xbMgv_xZBy7NnS8U2otL9SVtFIdY2w3KqL1FzxI5D_El3Juk2INUEL2KgoJsoA-Cb3OorFbaGb0BQhebIZ-4tLVbZ7Sq10qJlS1=w300-h450-p-k-no"
Coco TENG,5,2026-02-19,3 個月前,"湯頭不錯、麵體有筋道，親子友善
咖哩飯是辛口，小孩吃要斟酌",https://lh3.googleusercontent.com/grass-cs/ANxoTn1QSgS5HT0IVWOaYT3jK46OvBYdWmOz9FwYiT5ce7g40ia2pOs4l6OtpdmFHrBk3rQfFU09jgGgR3ZHiQ4p5o4U91q_ljdHiO-2sOqnMKE_35b5l_1jzmc0WnWUhsNjGRa_zB6LTEG1P2o7=w600-h450-p-k-no
Rosy Pan,5,2026-03-19,2 個月前,"用餐環境舒服、乾淨
醬油拉麵湯底味道很棒",https://lh3.googleusercontent.com/grass-cs/ANxoTn2lgD4f-oLCPsLb0c8IhxKEJM8ghYVMR-2lhhDDyrLLCqUHirW9Zc_oBElfVTL6YVvmsh6JLQV_tJa1DB3doPlKC2xil3dLAlovZ-QgzubYjU-6gGClj4VB8By94gJGRg0-nEcqsQrOiHY=w600-h450-p-k-no
Eater,5,2026-02-19,3 個月前,內用免費加一球麵，開幕期間豆花免費吃到飽，拉麵裡的溏心蛋是一整顆，很有誠意！店內乾淨舒適，有洗手間，可line pay，店員都很親切積極。推薦大家來！,https://lh3.googleusercontent.com/grass-cs/ANxoTn1ZLxtu0nPwPCzHNMTuEneBuCwsxfZKqGkFjmTx_zr3I6KSjH_4iwSb30IDAG8ibWgWjYYVw6TSuyxMPQoovt4V971ltkvY8sLIHV4uWv689uHFIQf0yCqw2awP786nFDPjmaO951D17FFC=w600-h450-p-k-no
