Username,Stars,Time,RawTime,Text,Images
Lee Minyi,5,2020-05-19,6 年前,"愛司紅茶很好喝
果香加紅茶絕配💕 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn3gs-kolcLDPGM4-g0EimuqJTAwo193n0ue3Z5Y4vqtIuq7tbPJVXMhbhFzFR7VctCAuizGMfrDyEYEEs_H7hsuLjSlkevhXWJk0CqEUbBMCYChsgY6bMilGC0ihoYharYt1qsI=w600-h450-p-k-no
Wu Hao,2,2024-05-19,2 年前,4個員工，只有1位員工再泡飲料，其他3位則在發呆…,
Hsuan,1,2025-07-19,10 個月前,店員臉不知道在臭什麼🙄 …,
JN,5,2021-05-19,5 年前,剛離開不小心打翻黃玉歐蕾，和錢包一起很難過的回去再點一杯，竟然免費再送一杯,
Molly,1,2022-05-19,4 年前,"孟X店員態度有夠差
講話有夠小聲
再也不會來這家
公司可以管理一下嗎",
周一如,3,2022-05-19,4 年前,很難過⋯剛離開飲料杯就破了（膜跟杯子分離），連喝都還沒喝⋯🥲🥲🥲🥲 …,
annie Du,5,2025-05-19,1 年前,店員都很親切 胭脂紅茶好喝💗 …,
啾啾貓尾巴,3,2021-05-19,5 年前,是一家被紅茶耽誤的冬瓜茶店，冬瓜系列表現比紅茶風味來得出色許多~,
維y,5,2025-05-19,1 年前,服務很好，電話點餐效率快👍🏼 …,
多喝水,1,2025-05-19,1 年前,說七分給一分 好喝,
Chain Gold,1,2023-05-19,3 年前,胭脂紅茶後勁超苦 第一次喝到那麼難喝的可不可,
CHINGHUI,5,2025-05-19,1 年前,店員很親切，烏米紅茶好喝,
Yumi Yu,1,2021-05-19,5 年前,紅中小姐。我欠妳錢嗎？為什麼我付錢 妳用抽的！？ 態度可以再差一點,
羽珊,1,2024-05-19,上次編輯：2 年前,說要等十分鐘做出來還很難喝,
路過鄉民台北走透透,5,2025-05-19,1 年前,白玉歐蕾三分糖去冰 讚讚👍 …,
翊瑄,1,2023-05-19,3 年前,點了鳳梨波登茶加白玉，結果喝了發現沒白玉==氣死,
Felicia,5,2020-05-19,6 年前,"服務太讚！
剛買完自己手拙飲料灑一地
幫我補了一杯新的
感謝！",
yuyu,5,2021-05-19,5 年前,"好喝 ！ 最愛熟成冷露 去冰微糖
店員也很親切",
Aura,1,2025-05-19,1 年前,女店員態度很差，飲料有點酸味,
Tony Yang,4,2020-05-19,6 年前,這間因為鄰近許多學校，常常有很多外送單，偶爾需要等一下。,
Elizabeth Morgenröte,3,2021-05-19,5 年前,"這週跟上週的冷露 (冬瓜)味道變淡了
跟前兩週的不一樣",
陳佩君,5,2021-05-19,5 年前,"夏天店員辛苦了🥰
超級好喝，一定還會再去👍🏻👍🏻 …",
林育穎,5,2023-05-19,3 年前,害我女友小腿被排氣管燙到 但我還是要喝,
恩,5,2025-05-19,1 年前,老闆娘很漂亮！飲料也好喝,
陳小彥,1,2024-05-19,2 年前,好喝，說了好幾遍7分，結果用都正常,
史東,5,2021-05-19,5 年前,"就是可不可的水準
熟成紅茶 讚","https://lh3.googleusercontent.com/grass-cs/ANxoTn2hD3E7lds6uQ9RFuKhw0Rzfs04yMn64Dutw06QSHnV0-UcTASv6exvW5JMRBVQG1RB3Uscn6jlR2TtHlX7AW2jPERTrz36ohnTXC924ZRH7jabJ5NO-hkoSb_OGiTp5ezpTpOP=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1-4cpFrJSthBaOgukdkBAriKq9ShaN015Lhq4lgzMEsOWrci_jq8eTA8RQVy6M8NrgRe_FUdtfVQW1SoyVF2UpM1QjAW6EhcOMCvVlWHE033gglcd8UvKoS4zBFj4zvf55Vvkk1Q=w300-h450-p-k-no"
Hana C,1,2024-05-19,2 年前,阿智頭男生店員態度超級差 不爽不要做 可悲,
林威霆,5,2021-05-19,上次編輯：5 年前,"好喝 粉專回應速度很快
有問題直接反應都會解決",
Linda,5,2021-05-19,5 年前,"麗春紅茶超好喝👍🏼
服務好店員親切
超熱真的辛苦了🙇🏽‍♀️ …",
mina chen,5,2021-05-19,5 年前,店員貼心、服務態度熱心，飲料好喝，最喜歡可不可！,
Yici Wu,4,2020-05-19,6 年前,好喝 可不可還不錯啦,https://lh3.googleusercontent.com/grass-cs/ANxoTn0Nyp5tw0AgojvQx52lfBAcVp26-orRA0J2WJufF-xvuLz2uK-_lNkT5rqfB4ynsnh5T655m8IeJMvRb5IY_LlQS3wVyiC9vY6LucvtblKL714RRLuxL8J7DEOHVM4o1QDBVCRH=w600-h450-p-k-no
TY,3,2019-05-19,7 年前,紅茶的口感特殊且順口，美中不足的是珍珠比較糊,
王昶諳,1,2021-05-19,5 年前,"約兩點外送 兩點二十跟我說改兩點半
當別人時間不是時間哦",
Inaria T.,1,2020-05-19,6 年前,太妃紅茶太淡，喝不出茶味，根本就是咖啡風味水......,
nn xxu,1,2025-05-19,1 年前,點白玉歐蕾沒珍珠 想怎樣😂 …,
張庭瑋,5,2020-05-19,6 年前,"超級好喝
尤其是愛司紅茶加白玉跟熟成紅茶加白玉",
乾真大,5,2022-05-19,上次編輯：4 年前,張姓員工幫我點餐，害羞靦腆的樣子好可愛! 求認識~~~,
Jennifer Huang,5,2023-05-19,3 年前,傍晚5點多過去，她們家的紅茶很好喝。,
Tina CH,5,2023-05-19,3 年前,好喝，每次經過都會買一下,
Wesley Weng,5,2020-05-19,上次編輯：6 年前,熟成紅茶招牌有特色，要喝檸檬紅茶放一整顆超值,
陳志強,1,2020-05-19,6 年前,被其他客人插隊，店員也沒有制止，而且店員明明知道是誰先來後到,
謝hsieh,1,2023-05-19,3 年前,"有個店員叫小陳  臉有夠臭  態度很爛
爛店",
與誠,1,2020-05-19,6 年前,"店員態度極差 叫人用吼的
是有欠你什麼嗎？",
董宇然,5,2021-05-19,5 年前,點無糖做成微糖 還做錯了兩杯 太貼心了吧,
邱姿語,5,2021-05-19,5 年前,"飲料好喝
店面乾淨
店員很開朗
讚讚讚啦❤️💪🏾 …",
wyber,1,2021-05-19,5 年前,詢問飲品內容，女服務生回答態度超差,
重鑄者,1,2020-05-19,6 年前,晚班女結帳員態度極差，是欠妳錢了嗎？,
陳忠淳,5,2025-05-19,1 年前,裡面的香港人服務好 又會搖,
zi-yang Huang,1,2020-05-19,6 年前,這是我喝過最淡的一間可不可！！,
Ya-Hui Chang,5,2019-05-19,7 年前,服務態度很好，員工面帶微笑讓人覺得親切,
SY L,5,2025-05-19,1 年前,店員人超級好🥹 很有耐心 …,
YungYi,1,2024-05-19,2 年前,第一次喝到跟水一樣的麗春紅茶🥲 …,
