Username,Stars,Time,RawTime,Text,Images
ハウル,5,2025-05-19,1 年前,這間泡很好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn0gczJ7E9cq6MZUmHPlMigLDqJyvrR6gEpsIPUEDuWIRvNxSNCeA0cjnEI-SauoqyX6q30V5rbpN8AN-FerjXkp2PMwc9EpltqcuqrXODxXaMH8CJsb0lKY434V0_uOZGM1kw=w600-h450-p-k-no
Ngọc anh Nguyễn,5,2024-05-19,2 年前,服務態度很好、隱藏版滿好喝的、下次再來買飲料🥤,
Jacky Chien,3,2023-05-19,3 年前,多多綠是加一瓶 170ml 較大瓶的多多，但多多味道仍較淡，要喝的建議可以多加一瓶。,
Jacy Lee,1,2023-05-19,3 年前,動作超慢，2個店員5個客人，兩杯飲料等15分鐘….員工訓練可以再加強嗎,
Yu SoShi,1,2024-05-19,2 年前,給今天晚班戴眼鏡的叔叔一個星，上班不開心就不要來上班喔，態度差得很,
蔡承祐,5,2021-05-19,5 年前,超讚。組長很帥。老闆娘人超好又漂亮。熱熱的天氣來一杯透心涼超消暑又解渴。,
皮皮,1,2024-05-19,2 年前,講話那麼大聲是要嚇死誰啊還沒點飲料先被你嚇跑 好像以為我聽不到你講話一樣😃 …,
Kevin H,4,2023-05-19,3 年前,"出飲料速度正常
拜託不要再倒了師大要沒東西喝了
星數說明：穩穩地連鎖飲料讚",
StarkD,5,2022-05-19,4 年前,服務員態度很好，茶也很濃建議你們來喝優多綠,
Nico Hsieh,1,2023-05-19,3 年前,請店員調飲料時不要把手指插進去飲料裡面！超噁心！😤😤😤 …,
喵咪,5,2024-05-19,2 年前,"服務態度很好👍
珍珠蜂蜜鮮奶普洱很好喝，你們可以喝喝看😊",
Allen,5,2022-05-19,4 年前,"在師大工作快兩年
終於等到他開了
清心的冰淇淋紅茶大推
從大學喝到現在不會膩",
Roy洛伊,1,2025-05-19,1 年前,今天的員工不行 多多綠喝起來像水⋯,
林皖昀,5,2025-05-19,1 年前,紅茶拿鐵加珍珠，過蜜，甜度剛剛好😍,
黃柏翰,5,2022-05-19,4 年前,這間飲料店員好客氣，飲料調配的也很好，會再造訪，太棒♥,
ru ru,1,2024-05-19,2 年前,點餐很慢 飲料還難喝 跟南部真的比不起,
蘇威,1,2023-05-19,3 年前,昨晚來了一杯茶，點無糖給了半糖，這教育員工教育訓練有待加強。,
蔡小玲,5,2024-05-19,2 年前,經過都一定要來一杯隱藏版超好喝的啦,
KE Lee,5,2022-05-19,4 年前,珍珠煮的超級入味超好吃,https://lh3.googleusercontent.com/grass-cs/ANxoTn24klz3eoG9TS5b3T-oDFRVVfFh45ue9Awvs8Mcbq9yvBSuNI4K--JLo_YvP2AmrqJgYh_1UcRh-5br9VMyGX7-29kV8sTBkHbWkCpyCkdXO1egJO9YK1YV4r_3Yu1gMAeGANjr=w600-h450-p-k-no
Liu wenhua,5,2025-08-19,9 個月前,材料實在，口感很棒。,
邱佩珊,5,2024-05-19,2 年前,買過一次，超愛，老闆跟闆娘服務超好❤️,
劉芝妤（凱西）,5,2024-05-19,2 年前,"服務親切，品質好
繼續加油～會再回購喔！",
侯怡卉,1,2024-05-19,2 年前,女店員態度好差 下次不會來買了 氣4,
jyun Chao Huang,1,2023-05-19,3 年前,載具放桌上給她看了 然後還給我發票？,
香香Rainie,5,2025-05-19,1 年前,店員貼心，飲料夠燙！讚爆！,
田中吉,5,2022-05-19,4 年前,買了一杯四季春，是我在台北喝過最濃的，讚。,
黃明心,5,2024-05-19,2 年前,服務人員很敬業，飲料上的很快而且很好喝,
詹家丞,5,2024-05-19,2 年前,來買十幾次店員服務態度都超好,
詹子寧,5,2021-05-19,5 年前,老闆娘很漂亮，服務很好，飲料解渴好喝喔！,
Summer Lin,5,2021-05-19,5 年前,店面乾淨溫馨，店員親切貼心，會再來消費喔👍 …,
鄧氏愛美,5,2024-05-19,上次編輯：2 年前,飲料超好喝，服務員態度很好🥰,
S,1,2022-05-19,4 年前,"外送等了一個小時…
還取消其中一杯
還不能修改",
玉米,4,2025-07-19,上次編輯：10 個月前,常常點微糖變成無糖,https://lh3.googleusercontent.com/grass-cs/ANxoTn3tKO0uphsNGcPupqYiui3w6ERfG8UNbeKN2bOgfL5158WWHwDEPXHw255Ls-pjU9Rbho2VrAtPAPPP0hW9tqXPSZMe50wfMtOhGwPbBBQ8JaGnbKBMybRUO_S27cG7hPnvJR8q=w600-h450-p-k-no
林柏皜,4,2024-05-19,2 年前,點了少冰卻一顆冰塊都沒有🥲,
Amber妤潔,5,2021-05-19,5 年前,服務態度好，快速出單，真解了燥熱天氣,
Starries L.,5,2021-05-19,5 年前,不得不讚揚服務人員服務態度都好親切而且笑容可掬🤗 …,
