Username,Stars,Time,Text,Images
BD.20 Sherry Liu,1,2 年前,"好衰喔...今天傍晚6：45 很冷走很遠要去珍珠奶茶結果女店員好像越南人沒把那個塑膠封膜弄好害我拿在手上走路時直接全部爆開弄到滿地整個弄到我的外套我的包包手機钱包和手~很扯的是回去跟她講他居然沒有說要再幫我弄一杯害我站在那等了很久~直到客人全部走光了後來那個男店員問我要點什麼？我告訴他剛發生的事情還被他問你有什麼證據嗎？還出來店門口看說在哪裡？還有跟她女同事確認有沒有這件事？🥺😭😞😢
買個珍珠奶茶等了半小時~我以後不會再去這家服務態度真的非常的差~😠😡🤬😤🙄 …",
Tracy,1,3 年前,完全亂做，半糖直接給我無糖，一杯60元，工讀生可以好好工作嗎？,https://lh3.googleusercontent.com/grass-cs/ANxoTn37lZ840HBIHQzh396OY4PUpPmFwcoJhDp53qOC6mTgL-6DYFaLkfi04XEP9fxffm-_1rsnJVV_sY07Lz0Jmu3jpZcgnSNUDakQp7J8kQ9G5pVdlyxJ6Gi86hEpuv-fM2gJlE6R=w600-h450-p-k-no
李品萱,1,2 年前,"點了飲料加珍珠結果吸半天沒有任何一顆珍珠
忘記加真的超級厲害👍👍👍😍 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn0yeTsdLD9frRn6DglQneXkLqxXC7pSJuTpc0ft5us1A8auDKUVNiWa058bPaYmCy71mfrUAJoobE_zs4W_giXsVfBzVM6r5Pyjz4TbOTjZ9ky85vGz3j-21qsnTLFYaIV8l4wQPA=w600-h450-p-k-no
CC,4,3 年前,"多多綠- 友人喝的

冰淇淋紅茶- 一般般 融化加在一起沒有比較好喝 分開吃比較好😂 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn34pJU-BRUjZxBWKVtMyf4VUGm31dHF67xJii2gRxsGkPizym9RSZRKs_6V3Z--AvptydXzpXyeQvYQuAJ3ZcKX1-sYLrm0lHWJ6_XW2szLBwVT_iJjjJK6iVwYNrPmfzTl_Vtm=w600-h450-p-k-no
溫蒂,5,2 年前,"人真的很好
親切　友善　態度超好 …",
鄭秉宸,1,3 年前,"態度有點不好，男店員有點跩
點了杯鮮奶茶沒有茶味也沒有鮮奶味
點了3分糖喝起來就跟水一樣沒味道🤷🏻🤷🏻 …",
Wang Eason,1,2 年前,在通話叫飲料時感覺店員就很生疏，三不五時還說要問一下（問誰？）居然還問我說店裏到我地址這裡要多久？這不是店家要知道或查詢的嗎？是要叫我查詢好嗎？怎麼會問我呢？重點也沒有問我要不要袋子、送到後發票等也沒有帶到還要再等，整個過程中明明1公里不到的距離花了快2個小時才結束，一直強調店裡只有兩個人…怎麼會是讓顧客來承擔店裡的營運方式呢？,
Gina Chen,1,3 年前,"今天點了兩杯飲料等了15分鐘之久🙄🙄🙄
我還是第一個點餐的🙄🙄🙄 …",
Chen miya,5,1 年前,"最近都喝「奶茶」 因為有我小時候喝過的古早味早餐店奶茶的味道🥹
小孩都喝雙Q百香果綠茶👍 …",
張佳瑜,1,2 年前,人力不足就多請一點員工來上班 不是讓客人來承擔 動作還很慢 那個種睫毛的女生態度有夠假的 這樣不是態度好耶 是🤮  珍珠還很黏吃起來很噁心 …,
劉先生,3,3 年前,貴店封模機出問題還是杯子有破？這麼近的距離外帶還撒了不少出來，希望做好時能多加注意後再交到客人手上才好...,
Arita's Day,2,2 年前,其它分店桂圓茶可以能做冰的，而且有桂圓，但這間都不行，而且沒有桂圓，唯一一樣的就是會給粗吸管,
曾曼寧,5,2 年前,"有個男店員人好好～
我是7/4下午3.買多多綠+珍珠、珍珠奶茶的
謝謝你的熱心及幫助🫡
我也是做飲料店的 懂你們的辛苦！謝謝❤️ …",
Daniel LIN,5,2 年前,店員服務態度親切，對於有選擇障礙的客人都會主動介紹主打飲品，甚至是外國客人來消費的時候，也會用英語來詢問冰塊甜度，在師大這個很多外國人來觀光旅遊的地方，除了服務態度以外，會第二專長語言的店家真的是非常的友善,
