Username,Stars,Time,Text,Images
Shang Yang,1,9 個月前,"之前買過一次優格系列覺得還不錯，今天想喝點清爽又可以咀嚼的飲料，點了蘋果蘆薈，本來以為他們家都是用真的水果，結果第一口喝下去發現居然是美粒果，整個傻眼

而且我還特地跟店員詢問適不適合無糖，店員說飲料本身帶有一點酸味，但蘆薈有甜味，所以還可以，結果點了無糖還是超甜，因為美粒果本身就超甜啊！！！ …",https://lh3.googleusercontent.com/grass-cs/ANxoTn1FjiMCpXV-ACNVeuRe7V1_xTx1ibCR9vLQynfY3pyVwOAPiivfih8kONv9q_vnS6zTTph2yPERe1JxVdut65tZT7Ee-E8YHkLHeI2W-y49mjlNVusSwnfrv7tKO0kpul3sk2dolUABT_I6=w600-h450-p-k-no
Lin,1,3 個月前,倒到杯子裡才發現沒有滿杯，又整杯倒回去攪拌機裡加冰塊重打，抽到泰奶口味，喝起來完全沒有泰奶味，還變的很水，不知道在喝什麼…,
Oriane Chen,5,1 年前,"📌 奇K巧克力優格 M$95
每一口都有kit kat 碎 無糖的口感濃郁不會酸😍
好喝！ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn0SlkPC5ElwdPg-2O5f1KSGkXpVOHL-m1CvPDjMRfD0Cmw1xDxL4dnKlusECMv--ma5MC111ewZf0C7jm7pJlmWymjwKnoPfPqrc2D6pO8W7QrL8dg_ZKBbIrxEKBamYDu3b_vM=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn239TGfxzWAekLbn5STEfg_hjSXRnpxcn7wBCdUTtCqQzP4q_b_AWeY7Ogg3W0KIlQWrwMaYpXy6EjXwNAyxJkROAVMlGBDWH-ieFTDUSNKRKVpdcl8P4T_UqrFx3X0sIpgWVndmA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1dUQiwYrjMTa1lEDI4zpIX62psHSw1TZCx4HtVs4BKjh5s0bZWBdW-6yxXL9071wL0wOaPg8rPw375BvhJIOC_G7XlW6zNNwhOU2Yx0BVnqm3MbNsUoRPSNAp7EryKtJjJSC6G=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0U0bo-tyIEAUe-L5g7lZjnmS39a8MtMutFRiad75YzW1Hj0Qo96KhGn0Iw0BTdfgbcggvQQUqQJAMuOOOZdwqTTuPXgrdOXtSWDEsAcIoYapL4i7DMYTrMLVyKo6kr8JrU-QiM=w300-h225-p-k-no"
Chuer,5,1 年前,"喝過不少次了，非常喜歡優格系列，我個人喜歡全無糖飲品，伯爵茶優格可以做無糖，其他水果優格本身在調製時就有加入少許糖。優格百喝不膩。主要也是因為很特別及少見。

我雖然沒買過周邊，但品牌形象很可愛和溫馨。 有經過會在繼續光顧。今日點餐時店員都好親切，很喜歡這樣的氛圍。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0bJnw4Ydo5xphO2b5hLIJpIicFCmCf0Wh6cnl6Smo7aTa-i5PjKvvRFXo6fzQKU_OyRzU_z-y4DvpKM2yVEsCxA-fEzVxoXQ8S362kCdygIK81zMlGqRySkynt6WwBNh2PFr5F=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn131IPbD2Xf3N8ZGgTtFI5n34hQ2hXTnzFlhWGWOEk2cdtfZXghA-Xdu3x5EYjP7DOcD2V232PCniNOOEH9aL5bnqFkrXzrusKdetuLAATu3PEhsNW1sMy1THMHeS5-2AIRsqpW=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3_uTx_la8BLig0EBv18JIQvfuZNouEHMfLFjUvmcEaTCb_FBG3dVkWtkG5r57QFLNpTZXxLAffq1gEKU3Bvxa2c9CUIWxWzH7LG_9CNXK4w9S2CzKz2lFbXIMKLJLxmxSKCeQf=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2HANlpFXrrJ02KY52S--koLHfqMbxrYtS1TwE7cw3Xose8KLhb7eXOabcvRtSLR2_Po3HryZv8qq0xnhvo5yyHbCOkpfweWbrPEdHTOrX74j1Q5855sh0R49JmSeYbU8WYKwjD=w300-h225-p-k-no"
Lèvr【第10級在地嚮導】,5,1 年前,"真材實料的飲料，發發超讚👍👍 燕麥穀粒鮮奶茶吃得到滿滿的大燕麥粒，無糖甜度剛剛好。優格系列也是招牌必點，這次嘗試焦糖海鹽優格很好喝，鹹鹹甜甜酸酸的口味相當順口。
店員服務不錯，耐心介紹飲品，出餐速度也算快。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn01qMvZPkBe6kUCIpdxSxKV3ToF-CGf7eIcBgnUfz74adg6WqLYHbKdx_ITMAA23KcuNLAEBD97v4aZ62dMj3Rnf6VnoNFMEXUVAWP5x1A3iN1-hZ2gS3ni-cjnciTlLxfxCtxtYg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3xEUKb5jzkHunpAAzRPVbNH3U6PTATN26UFHXfwV8NiURRD9SyHgpWEsHaX4faVOdZDKt7wCoow8VxmWAzYWuCyeCLYtS81DpRxJoi4IGzT62rnr-zan4nv0_FLGAlrDrtS2w=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2NWgKOSX5D8kTsaaTCEJDzZgqOL0S-rtUFEgnUIapXMMBh-PX0czzA1hS78MDQs1Z3m9ge-PhFx614HAnNkE8ArmQOTb8xDMVHPayy-N82Shp94XCQeE4_RM-64Ob3Tqr6fTZW=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn25vMn7gGyR3ViXexHbI_3ICf_pdbYP6EhONGqOU6Vkoy2XAYm2359PodWmnVFedIvprh4sLrC1rhhJjCf2sTQVPMd917nOJpUIqNZWEaWza8Yo6QxeEeVtFb4-XpV_iGf6A_ix=w300-h225-p-k-no"
miller miller,5,6 個月前,"雖然賣完了🥺
但突然獲得最後一杯紅茶😳
謝謝店員拯救我渴爆的嘴😣
下次再來買別的喝🤗 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn02wLGPbRZf8S-yul2hLmqZPc5CtX2ahL-H4t-n06-n8BaldRjDCi1L_iEdPN0lspE3NSyTOtuckXwfUiDdXkvkwN9ypFr4aCAJzewaIlp68Z_15UKxViT_t5Q1OKb_DJ_6onsIJhSSitl5=w600-h450-p-k-no
Lava Li,1,3 個月前,買之前看評論說鮮奶茶很水，不過是一年前的評論店家也都有回覆。結果今天下單喝看看果然很水，味道很淡，一年了沒有改進阿 XD,
Dolly Chan,4,1 年前,"【賣優格飲品的奇異鳥】

來到台北第二間的茶飲店是以吉祥物奇異鳥「發發」作為品牌形象。發發牧場 The Far Far Farm 主打優格飲品。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1XcYVRzLsS3WCVHr5oHoJTWhdpFSB4BFewz9-00NbNQ3ceYUAXDMQpsPeQFrBQVznJOqNDhllqEkjADiSo3gntmtnRpymHJO5WJ7eME2aL1aUtm6yk6oVlTKRtHimz_8WPm6o=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1u5H4NSWErlrKgiwwsygviYKF8I4Xs6uf99v6nBnxU9dc8xd1YJB7BQ16_0eZntmkGdDZ1Z_YDlkLzOa5VHUVQrqiVc4KmqmpZu9AGSfftCX1NgKVJswyyC_bW_BV7V5N5q4NTnA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn03FBpSj832hiG2tlOAjQt14gvEYexbB4JTVIrMyW99yK5Szl-HubPu2tsw82nY0PJaHK4xeJ-LK4ITYLndBhvrTmauOW0aHiIGDAaYXm6OC918oZDRf_-EpqaUL0OfzcVhyQQ6=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn25xWuY_TrFFeZlFFJ76oFb0jaGjajGiqwLO_0AedqHst9vtmsE6DY_-fw9WRQO6RQN0gx8mTsKGl7Rrc0IZAZ08QJpMyPJyUQglg5kgkw5k0n2lzGvBfe89ziFVsS0daKCwIVc=w300-h225-p-k-no"
Linda Chiao,5,11 個月前,本來想點優格，小姐姐細心提醒那是冰沙。馬上改喝優優。紅柚嚼嚼優優去冰一分甜：裡面喝得到柚子果肉蘆薈跟蒟蒻。雖然是很稀釋很稀釋的優酪乳，但是味道調的蠻好。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2yDO1hGYe8Lp-aoUuo6xon5-Ig-J-BAswG77hq5e0tIAbZvODX53OxYoJS0aMYIIgOpUlX3jBODWvwlecwUL7HrylpRaAIQSIwbQPUNrn1pEe_P-wv48sfkDHiVS_F2oXeOG0=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2ucFVuo6ULdSy-NmLzOCAsfJ8E6vm1L67atCozX_E1DbYBgNISLgJhnozrjTZSFHY0FbIif-EY4cc7Vx0t3tJroRnRakl-WuPHinfdMrzlr2qln1_kzQL_W7kvi8t36YG7Cdpo3g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn382Jk4yZGo3GUVsOUY6unVkTnyjMkqQwoNm43NnBrg-lTJhv7ZfaJ-7qpF2Zf9CwZw5akNw5Sqkug4bX-8qe7X42O775jSvmh1fq6zCFjIFLIG0Xjak8SmMcUQazouTiyYdBHN=w300-h225-p-k-no"
MAIまい,5,1 年前,"草莓季特地來喝發發~現在兩杯草莓發發有打折
點了一杯草莓牛奶和一杯草莓優格~
不但好喝裡面有草莓果肉和透明珍珠，但這樣平均一杯只要65元超划算 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn07nP_swNw8ngXlmLCWRRBXbh_87A8kINVuEvluw7mwO6MeT7kV2i1eEAfsF1v__YKaAuWdSU39QW9HycYMdvljcOIE3OCObNRfOH4ZFILtaogX55Q-b9lMrYbw5iLlurfAiwg=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2TCU2IrYeIVfguIEquEgwHIZHsUhWCYL-DKun_NN6U8Sab-Tm3jx6K7YeP5_UqR1ZLeXZRaF67__40gxey-y-6l6IWqIcv8ILSN1gt9e-W4m8yCoB-MD5RpUm6YM5Uq-BYp_e05g=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1YWiBApKxt3Eiry6gFn3tgVQCCBM6buL02iviPwLX8bCL7AI3NeSg5Q3NEa8WX9Cm0Ozf9TnWssP9fQrOECelS6mqO83vBDx0q7mjk5ZRN-qyt8XCfJBN8WUd73aDr1YG7HRw=w300-h225-p-k-no"
