」』』」」



ㄍUsername,Stars,Time,RawTime,Text,Images
汝汝汝,2,2025-05-19,1 年前,"一開始看到標榜有多種口味的奶蓋收藏了這家店
今天去了發現現場只有三種口味
其中一種還是原味奶蓋
等於其實只有兩種口味
之前看到想喝的起司、芝士、抹茶、紫薯都沒有
現有的巧克力薄荷奶蓋也太甜且跟茶不搭
偏失望",
米菈MIRA,5,2025-05-19,1 年前,有很多無咖啡因的選項、能做熱的真的太符合我的需求～遇到活動時真的超值到不行,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1PtHBT6G7ufevNL57j5zjUTK7HDppPPLsv3atJ1LDn6JstGeWCjrihnW7AbT-c7r_f8Iy867dLiikv5qE8xtvtg6XvTTzwxVDcQCewI187WVlArb4_bxfcpZBm9xoBhv5rpXu_aQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn360O_Bv_QnoFXzKV6CXQYXtAtBYpbxV2YIfT9R46qg7DAH7zlPZL818NHm-_tOQkex57VQYM-Uyi4s97zN4FW3FvLFSIt3SqF4JYrSJ_SBLg6ku3LXwncgxKf96iWJEx6f3nIw=w300-h450-p-k-no"
Franky,5,2025-05-19,上次編輯：1 年前,"南非國寶茶＋鮮奶＋珍珠
太妃糖紅茶＋可可奶蓋＋黑糖寒天","https://lh3.googleusercontent.com/grass-cs/ANxoTn1lVtZeWkOqlvaEpYxFdtem2eq7ssa3H2HJAbOaIviaC66kvr1NFkwf9tS1WCefc9u-OGKkhvizlRso-_ZAnYLYV_PjXprzR69RxOOb11cyaoaW0gpE54RFF6Pgb7rzEroJcSDT=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1P3eJLxgPY6p2-QA-5HD1gYnbg3SXuhbGnLOv-uX6s8cdzpE7ogC5Kloc4a-DIRVmpo7rPUYEC7fW9Q9n3m_Fz1jFerDefid0Ln5qBPVXbSKu1WUA0GIjl3-avPuts6CckjU_5Ug=w300-h450-p-k-no"
emma,1,2025-09-19,8 個月前,"珍珠奶茶一分糖像全糖一樣甜
珍珠硬到像阿婆鐵蛋⋯
奶問跟茶味是分離的
中杯一杯95",
Mandy Chen,5,2025-07-19,上次編輯：10 個月前,"太妃糖紅茶&鮮奶茶超好喝
（可以做無糖）
就連無糖都有焦糖奶油香氣，超有滿足感。飲控就靠它了！

奶蓋也超好喝

還有有時候深夜會開 超棒

新愛店 大大推！",
蔡嘎,2,2025-05-19,1 年前,原本很渴但看到這個蟲子讓我沒有想喝下去的慾望了,"https://lh3.googleusercontent.com/grass-cs/ANxoTn0hIbL9dhZ5FbePLkjG7mgCZgnJLtUWqRfQQ8kqQn0Upl8912WfXv9UA_QjivIj_DdxV7VXBDgaXH6t-UBwdsMzhFZLiBtDB-IS1n_cgCn9AahlFthImBry2B4k1dDwB4_oaoE8=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1OC4lFHOy7mN_ICybCCYYYtbFx2Se05FaCugaOlu4ZhsI_j7Zv81d5vIugnVeQAMe0daLiHU3rf7-NzQmIC0eM7X02cYKk3YUB4YXFeW3R4BJNHnxlqIjFAdxdddaTt4md-ST0fw=w300-h450-p-k-no"
陳玉婕,5,2025-05-19,1 年前,超級可愛的店 老闆人超nice 南瓜派口味超好喝！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2uFV4DOWUOfdoFcT8FG8lOWyskBPrLkQtylj4vG8bFPH8p5DBQWjvGq6uj9xV0Z69IceT-5eEbq6lOp6DnooCWxfbVw13cchcKzVhe4ilczoLl4WguykcBIJfx45rOBtyIX_n3=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2JvxhOyXqzAowC8ulRcF8yKFIzlicRc2A4a4BYIXMUUBw8YjZp-8JrMn8juB7QuKckWQtXM0LkuW_HXcvTDNj5OhMklZyWG7G65Z4enReROV0zIm1nBhotdsjE_Xlrky0CLwBuHw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn24jyqi51mx3Ba0OwwzI47Pb6GmTu_var-brlivPhAdsQK6lLXjIm98tOzuwW6cHtnd1L4FQt0HW6V2Irs7BL99-3f64Qkqvw9THHUcJmOgTn1rtKhTBbh-Lfqwsf-b2MXvoF0R=w300-h225-p-k-no"
JERRY CHUANG,1,2025-05-19,1 年前,點了 草莓奶蓋紅茶 買一送一活動 原價$80 活動$40 ，奶蓋喝起來像化學真的不好喝，點1分糖跟7分一樣，還免費加珍珠，珍珠硬的可以去當防彈板了。覺得失望,
梁統保,5,2025-05-19,1 年前,"這家奶蓋也太好喝了吧！
身為奶蓋控非常滿意😍😍 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn3oQfZ8ie6v5a1_C4B9jvrH5nlb1gqy_MJ-ZGeV7rjstsSUH4L_LU_IxBRJ7ZBO8oaZIZ6ctoN2eEuFU_AIy-Lo8bcPgsB95ZRGtQiVVcPBXh6XxMmHsWQcAyFdoNZHY78Rz1A=w600-h450-p-k-no
Coco嫙,5,2025-10-19,7 個月前,老闆態度親切，飲料好喝，店內有很香的茶味，開到很晚真的很辛苦，給一個大大的讚👍,
An,5,2025-05-19,1 年前,"被可愛的貓咪招牌吸引🐱
太妃糖紅茶很香 白玉珍珠很Q
店員也很親切👍推推🌸",https://lh3.googleusercontent.com/grass-cs/ANxoTn19J98LgJwWaTZUC2xcW5qYyQrPJle7ogfCuxrKE-I5LniG6j02T41gbTOdOamdCbJ-F-30pHxh67VL92VqJsto46Ecl-lhpnqeD9i_QTRMcqGHAwtzxo02zFXq6Vu2kgaVfBuzJQ=w600-h450-p-k-no
Katrina Lin,5,2025-05-19,1 年前,"一直以來都很喜歡Häagen-Dazs 的草莓起司蛋糕冰淇淋🍓
沒想到可以喝到口味這麼接近的草莓奶蓋
而且每次點外送店家還會很貼心的把奶蓋跟茶分開裝
細節滿分✨",
Suzanne Ho,5,2025-05-19,1 年前,有無咖啡因飲品很棒！店員親切，下次再來喝其他的飲料。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2gxgRu50yfIzPoGFoPyozz2Hgg8Pi9DXSY7OnvgOP_JVQKrwviK7ZuCUvnYe3w_fsg5w7c5XDpNGJxlWXGXOwwSMVpRszT6mBOqwppUY-j429MRqXFkY44Sl9jmKm2CSA2-YOP=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1ORe9Vo8m1WjcuvcSRThVNeHwh9SLn5dUvF7wpZwb2M0GmZZhImk-bM_NLfzKr0CgvpTN0nb1wNlA7DgpJpRDQ9kt5qH16Y3SASe34kI2nfewxgH_y_ziKG9F-GlnBC9pEZ6QvGA=w300-h450-p-k-no"
屈Amy,5,2025-05-19,1 年前,"買了一杯起司奶蓋綠，很好喝欸
鹹甜鹹甜的☺️",https://lh3.googleusercontent.com/grass-cs/ANxoTn3oserkn5CLtlsLR6PH3JlIP3YCOa9lBMqAaT_g4q8le6nSvLkXYlwdksKDZcjIbFs0o-cvhAr3MkVVSlVddMmLKFJgp9fJyKP3VOmcy1mnxFsDgwaZJQXkE46kVHuIKAwR9XPn=w600-h450-p-k-no
米R,5,2025-05-19,1 年前,醇厚的奶蓋配上清爽的口感，讓人回味無窮！杯子也非常有趣，分裝奶蓋的方式讓每次喝都能保持新鮮，包裝貼心，會再回購✨,
王威珽,5,2025-05-19,1 年前,"奶蓋真的很好吃🥰
找了一群朋友一起來
大家都很愛😍",https://lh3.googleusercontent.com/grass-cs/ANxoTn1YYdziOS7hsZ7jAdWIQfzVrzhld6q2yr-xk126gR8lNbnIZyWcbfiZuAg34giVmRRmDROlcnAkr19O3hXNBzN7CHvaIEC5mk9gReDwGp2NY4ZSfSnf49FACELr-mHuvE38iHR9=w600-h450-p-k-no
Nova Jung,5,2025-05-19,1 年前,這家奶蓋不甜膩，很推，綿密但清爽,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3tE6tJu3U-PvA3OAf-2ebHQ6ES6i8VUySxi6hyACZJ25swfjpLJDyf5zQKr8ES-MENeaiamZKi5Ggfy6IsNgfCW7p23gxTVR8pl4WCbTwgfzJ7mDkzERxVz5DTSAR8a1RbTeM=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn27Fbpg-1lbMSeDI4ErsZRpTspkVknYayF6PTvK20zoZnQdebGTNeLNX13QzAJOmC2IPJy3UJrrHJWydBvwsSijMvbwNXQSA9q2TzGrHqvOxJUAufaIcA5TTugWE35bSME54gVs=w300-h450-p-k-no"
Coco Lai,5,2025-05-19,1 年前,這邊的茶超好喝，老闆娘很美人超好，快來這邊挑選你的whatever茶喝喝☺️,"https://lh3.googleusercontent.com/grass-cs/ANxoTn27Rz9y2gdIcXm1Xc3HSELdKzoR2mx5SBrLturdEFsvkNLxu7GNYXn_BcboDbmJxVihc5ElfHPchhi2pNbbVNwvsLjtVBZVPje64IvNTbvEHtZJphPTifPStCBvo3mXd3TF3-VEiQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn117jweWU3fGaidXbB2FSBENwBp5cykm4E4I5wnRzdSpRLxwFZ2yQRGH2X9cumyVcLxascdw0rlasm60bxel6fusrxMDV2Q7K12HPyfy_Nax38Ff3PBgjVpIXv-KSDKIE9atDY=w300-h450-p-k-no"
Wendy Pai,5,2025-05-19,1 年前,"太妃糖紅茶香氣很足、很舒服，沒有香精感
起司奶蓋味道也很好，不膩
小姊姊服務很好，貼心詢問要封膜或是蓋杯蓋
選了封膜，但因為有奶蓋，所以還有建議可以撕開一小口喝",
Nala Cheng,1,2025-05-19,1 年前,"飲料本身是好喝的，但整個點餐流程混亂的令人不敢恭維，即使有先線上點餐也等了25分鐘左右才拿到飲料
店內當時約有 3、4 組客人，但因著店員從頭到尾都搞不清楚大家的品項跟順序，所以每組客人都是多次催促詢問後才拿到飲料、店員也一直無法估出正確的等待時間；原本店員說抹茶奶蓋沒了需要等 15 分鐘，結果即使抹茶奶蓋好了也沒有做我的飲料，多問了 3、4 次才終於做出來
真心覺得應該先建立清楚的 SOP、訓練好員工再開店，而不是來浪費消費者的時間",
Aruru Ding,5,2025-05-19,1 年前,"南瓜派奶蓋很特別 有肉桂味好喝👍🏻
店員很可愛😆😆",https://lh3.googleusercontent.com/grass-cs/ANxoTn3sh9QQtCxi3xa00qAxnWf5dMxejjMx1HCn0WfJi7h29vuXlrAoaFnfSO_LeggrWKGs93nOObychXTbAouobBFI3PBtHWj1IV8vpJh4HxcEf0cjWoavcjK6xJCSoDVeBtPVk0cQNw=w600-h450-p-k-no
Su Su,5,2025-05-19,1 年前,"建議大家不要點這間外送
十二點點等到兩點半都沒有辦法做完八杯飲料
一個小時前打電話去問說要等一小時，一個小時後打去問說還要等四十分鐘，這個等待時間是無限制的往後延。
說被取消訂單序號就會往後，人可以多點變通嗎？我從十二點等飲料等到現在，一直這樣騙人很好玩嗎？
要等這八杯飲料等三-四小時都拿不到= =",
Vanessa Tseng,1,2025-05-19,1 年前,"一杯至少100元的飲料，茶偏澀
珍珠要加20元卻沒有味道 也不Q
奶蓋也沒有加乘的感覺
然後包裝很不貼心 打開封膜加了奶蓋
並沒有再附杯蓋 隨時怕弄倒
還得倒入自己保溫杯。。
以上幫各位避雷 花錢喝了個寂寞🙃",https://lh3.googleusercontent.com/grass-cs/ANxoTn1ErATOg2xjh5l4JWCPZrGiWPHCYqrJ5FWJBiMenNwdhfqdyH4piQ0bZqD2Tb3Pk8g19fr7SI0WRSRISIczjDVXjEEmxoSMmRfDzCcKD2eGary5cMnTEezvEFIbLBU-hCzMCwSB=w600-h450-p-k-no
Alice Yu,5,2025-05-19,1 年前,店員親切、環境可愛、南瓜派奶蓋很酷,https://lh3.googleusercontent.com/grass-cs/ANxoTn1C6cZGhEfMkaz3HelsZds1XkYW53FXsPj9Z6i3oIw5ru6m91cUqjHB2slkvz2DxRc9yA18g0xnFnTbF0kyCrFvQBxp080AeTBirj9O7GaTyE0TaMh_oJalbss-48cbnUqO7xXnBA=w600-h450-p-k-no
WingYu Choi,5,2025-05-19,1 年前,"奶蓋很好喝！！！！濃厚又香，第二次喝嘗試新的南瓜派奶蓋，也很好喝😍
如果開在公司旁邊可能一週要喝到三杯的那種好喝",
盧亮宇,5,2025-05-19,1 年前,芝士奶蓋美式咖啡豪豪喝喔～大推,https://lh3.googleusercontent.com/grass-cs/ANxoTn1aJ9f9InjpJoDWnand3S22njBTS7Xwp11oTd1EbjSge57fvJAjq4Ec0q5j7G2mJLo8gxYhuo9hfujCzaWHIftXkJy3Pktnxgp-YyWSy1Y-r2uhQ3iATOqpnMMoGQ88bn0Bjlr1=w600-h450-p-k-no
Yz En,5,2025-05-19,1 年前,"超可愛的小店
好讚 環境好漂亮
好喜歡喔下次還來！",https://lh3.googleusercontent.com/grass-cs/ANxoTn1JTXsldRlpSh1za42wE4usHsV7g7QbtWwVSwonoBDbQP3tMQdg6LShLHLIEQON_blu3L6Z05q8oVUnJzTRDl4JGSNGcOnHxyjusxE5F86e7zeEPNupbD9lKWzCPptVztKkrv88=w600-h450-p-k-no
郭育瑋,5,2025-05-19,1 年前,"熱國寶茶微糖搭配原味奶蓋
絕啊！！！！ 戀愛了🥺❤️✨🌈",https://lh3.googleusercontent.com/grass-cs/ANxoTn0tTEV5tHqLaTcrnBFoB9ds7FZsKN08yZfmqHRCyt-XwOByrEOusCmlfQjB7HyJYRNztWisl7DqW2an16OK5Fy-n1-rxdFGneZDDkcN9Mx2ua3_VcY8YxRFPubPca9pxwM6dJQJ=w600-h450-p-k-no
阿修Ashow 滿級嚮導,5,2025-05-19,1 年前,奶蓋控愛死 玫瑰珍珠好讚🩷 …,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1zC4Z6MNMjvKKtCDnmNmWQYc7WHAy4I9Ed-_PCft0MDSjyZ5hMZs_-WJsAc2dc0ZnM21ViM4WvxO5577uwcG0q3DXWb5AD0bWH2HljAxiN-ZSS7Hocpo8MJnWRv5nbrdnfbTFp=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2x32ts7wNA5zEaCebI7ieOSGWBWg9iea9xc-XlEZfc5sjP1KlxZ8aOmaW6ZZQtZDof0gBHPzfRSOeXbvqbUeue5ZAuSjb7TYI3bNz4HLXMI7ki35VrO388DbsJiD1MqobYaaLD=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3wVULZxQWQDaFqsWdj-raT5yGvO9jmf7w7hKD6uGmYGOzzv_cE7t2szyek8s1RTFSv3Sug0HiURNCidTLqBRRSjYYlrc61r46xEYusCVPdNzGpuarHKCosFmp3eZjh1mgJE7SogA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1V46wwTwf4sA7FYeUt7TViqOJZdreBwpXvYnFMUKUeh1Ff5R3SG_GHH0I0mNbkDM9_YEVd0z6TmhO6c9veQAsav8I875_RKUzRSTjHKj1dhunOjshTImpAp7r0rXEvt2LWe_8d=w300-h225-p-k-no"
Lee Manning,5,2025-08-19,9 個月前,數一數二好喝的蜂蜜檸檬綠茶。蜂蜜與檸檬的香味很平衡 甜度微甜就很剛好,
歪西,5,2025-05-19,1 年前,草莓奶蓋系列真的是超讚！搭配太妃糖紅茶層次感十足！推薦！,
Junying ceng,5,2025-05-19,1 年前,不會過甜、不膩口，珍珠屬於偏Q的類型，我剛好很愛嚼，會再訪,
Jenny Chen,5,2025-05-19,1 年前,"太妃糖紅茶很香但不甜
芝士奶蓋很推",https://lh3.googleusercontent.com/grass-cs/ANxoTn3KjwGjsrY3xGAjg8v1KvDAaJQqFHPPQs3fLMZj0MMysJmxujrn8uJGVchYBPuIE5fpcvC7NUQ9oUx7oY3czru0ihiJz0AmbIyjdh3vtdSlW3O4snDFw2gUnkK5sB_SrIErjBUjyg=w600-h450-p-k-no
ㄚ錦,5,2025-05-19,1 年前,"可可奶蓋伯爵拿鐵
很少見的組合，好喝！",https://lh3.googleusercontent.com/grass-cs/ANxoTn2iIUC6Zt2CcS1C85mT8bFDiorg8BPucwnwgp4xRxdTTRY1LCt0nwcZP0pzztAnPHnL0vMU6Ky_VMq4BBmeoCBKjAgSlHHbvP4sYtH5BdO5_7oTHKraXo9a3Jwrty2XWZyKHNOZ=w600-h450-p-k-no
Heather Chang,5,2025-05-19,1 年前,可以讓我+2種奶蓋很特別喔！,https://lh3.googleusercontent.com/grass-cs/ANxoTn3rA7NAg3gKpSG8yTm7Zwb0A_BUGT0tfkVI509IgH9_yBk19fdG05T6ROL5UEuGtRIHiXD3fMlj5gMNzFImA-ebe2FjXdLkt3i_kWQzZkUZEJzcJWkS-T8-4PMHfreDSfhjUhF_3w=w600-h450-p-k-no
高高璇,5,2025-06-19,11 個月前,目前正在試營運的商家！看起來超讚 在永和 先挺一波 門打開有茶香 大家趕快來✨,https://lh3.googleusercontent.com/grass-cs/ANxoTn0CJ1EvbL0nKyUn-HqmHobEKADaGw-5nA9Jqs5-WGJ2S8DqRNtmqIuTQ2o8sx_cEFvy8tIAROfEUqoQTCQRykCfMmf2mF-xESVncix-mg4PmvK9y6yRw8GFx9Y4rHHSGLhGY5FEGrUKF-Ah=w600-h450-p-k-no
Cheng Cheng,5,2025-05-19,1 年前,來過好幾次！很好喝,https://lh3.googleusercontent.com/grass-cs/ANxoTn3dqJpmozsQbyltyiAscfHk8J6gafv4cxnxuBb7bt1thG67-1CHi-RPCO8fQUKPA8uq73tk8v0qUjrCCQ8uACLY0ue-kuWIBIuWFoHmZ89PqWLK6YC96tezgAz_jo-nY48hvStbiw=w600-h450-p-k-no
DaDa Tsai,5,2025-05-19,1 年前,很多口味的奶蓋，來試試看❤️,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3vUf-Q5S9ozjSQTZNuRmUpMUcbvM2PLO2JkyL17tkfBrVbJTBuTD7WY4puJ2_DAqEp2ILeCtaRPW2tIc60WHhBhXoWY46gFbuval2nIdg7bger9AuhXORcTXWMlw29amJvdio=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1xZOAc_m6zApobXFqB3OG4ofHdb-PMClne9IySm9uh7xNdDzEoQduexVvnFnoKirZg9NuS9_8HjssCRZVWbcAXosp7ZZ3gtjTaINswQoOuG49VK6iFXtoUES59P8w0YiSbGbJH=w300-h450-p-k-no"
郭羿豪,5,2025-05-19,1 年前,這裡的奶蓋太厲害了，每種茶飲都可以搭配到不同的奶蓋喝起來超過癮,
SIAO SIAO,5,2025-05-19,1 年前,推巧克力奶蓋 紅綠茶都好喝～ ❤️,https://lh3.googleusercontent.com/grass-cs/ANxoTn3XuFa7QT_JdPcdfLetKG8I0VCciXX_m1MqefuqAajwhNicDY-GqSMtyVfglwLRzB1OZ-MjT5ddOqsEqR7r5ycTnAibaYz6IIgh0gjUICJmRVRGvfZtWK8kwOcLdUtZ0ja2FO-PGw=w600-h450-p-k-no
林萱萱,5,2025-05-19,1 年前,"老闆熱情還超正👍
太妃糖紅茶 茶香很濃郁",https://lh3.googleusercontent.com/grass-cs/ANxoTn0SasGt40MEXd4qLUqfiff5nA6hvtSZmAXyXbDYduWeIkvq12AwU0BInhJQkYsY7-gL3Yqm60PZio4WfAFII2KA5t_SJPHIbo-enaWATJGN883fpcap9ta9NkWlUU2EXws77jLuIg=w600-h450-p-k-no
Una Wu,5,2025-05-19,1 年前,"老闆娘人很好～～～
飲料好好喝❤️❤️❤️",https://lh3.googleusercontent.com/grass-cs/ANxoTn32ix5Xx9QdOnpf7K2y21diaS1a-JGpTzGDReKhEoJmIrYD70jYDwRwHpfyQXH9JgAdIHzq4bGidcgHmCmMYeFPKM8nXGsKqI6baFlH4nwuTrUJuUIr_VXqhzGUaT2WQhYI_CGntw=w600-h450-p-k-no
cc chang,5,2025-05-19,1 年前,"芝士奶蓋伯爵紅茶好喝 欸👍🏻
推推推",https://lh3.googleusercontent.com/grass-cs/ANxoTn1Bw-U4KJNUy8L7KqqBXJyVm9tDORNHoTdFbfmPn1i-lNTXOg2LxcydCqaXRFK2llh1Fs6ptUwSfnDQKZdJp7ohlHK7Z3sKo1vNAvIJA1aykwmXeTip9dBwMfX87_W3waRdblD7=w600-h450-p-k-no
Yu En Cheng,5,2025-05-19,1 年前,店內環境乾淨而且裝飾很可愛！飲料也推推～,https://lh3.googleusercontent.com/grass-cs/ANxoTn2dhR5k_hPVOpan18peoykg7_M2fqPMDIHcMuBUxyDnARZ0limAXtHG2o6sAGC4VgUGYFe2B1IvGr41NirzLZJEIO45ykooHRrcKqvCl4BS7q7dmyupoJpJdW7K5se1EeVskWht=w600-h450-p-k-no
ʜᴇʏ ꜱɪʀɪ,1,2025-05-19,1 年前,"店家接單後 一小時之後又擅自取消訂單
讓消費者白白等待 接著打去店家詢問情況
店家一開始不接電話
接著可能覺得電話響太久太吵((??
所幸 接起來直接把電話丟旁邊 不講話
然後就再也打不通了

打算要叫外送的人 請注意店家有這種情況
接了單 白等一小時 再取消 又不接電話處理

這種態度令人不敢恭維
勸大家不要讓店家養成這種壞習慣
即便飲品多優秀 基本的態度還是要有吧",
林小兔,5,2025-05-19,1 年前,"被門口的愛心照牌吸引進來嚐鮮
自由組合很特別耶，不過我選擇困難所以最後喝了太妃糖紅茶加珍珠
不錯喝！",
J L F (FJL),5,2025-05-19,1 年前,貓咪杯可愛、有無咖啡因飲料，喝了很喜歡☺️,https://lh3.googleusercontent.com/grass-cs/ANxoTn2iuQ27mMPRX2vhhiY1CMYfRQUiPvZv7iOTYJKQws9Rws6pPXe7DvFclzFtW0t2Il6uHp0YO-jY76n1w1GjFRpvihj8_U9K-6zs9V7ycB7qduvmHGJOJaWQ1kFTCuEQp3rKmmUWog=w600-h450-p-k-no
張皓翔,5,2025-05-19,1 年前,"可可奶蓋伯爵拿鐵
奶蓋可可味很濃郁不甜不苦
伯爵茶偏淡一點 還不錯
老闆娘人很好",
企鵝,5,2025-05-19,1 年前,"用你訂外送，驚艷到超好喝連同事都稱讚,沒有去過店家無法評論氣氛跟環境喔",
須予謙,5,2025-05-19,1 年前,"東區新飲料店，貓咪LOGO超可愛！
超愛蜂蜜蘋果紅茶，紅茶味香☺️
老闆娘跟老闆超讚。","https://lh3.googleusercontent.com/grass-cs/ANxoTn27NlkGgaysKVUw7RxY-ND1NwDoEkD1IvR5rNJjHE2O4smy25qrC7L7g0x9MdWHHJND2gHt70Yy71-wfvu90XVqYUC2yq0zoLLqwhdpipS-yNPlVpZQYRgFzeji3ZNvzsG33GDs=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1-NLesyZPxst5Bp00_W_CRTeH3lIGpwasRh1UAa7BIcu8Lyo4WNPPkYaTAhwA-fmpuF1z-27ZOc_mOrk9cVsHKnYgHh1GZDOxxF_PQ8DF9-ZtUZe6QhTvIErExd-vRq8nCumg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn21xngHFj-eFv_Z_w9IVGD45p0Ia88NzpBZIqHqJWh_rF2bt9jXMcZPVJUzsOSUapfaE9uRYaBlOfsUkK0n2Egz_6T0LbrN55tIs-Ot6ADOcAjOZJzTJIra7IOUUxY7h4mgx3fV=w300-h225-p-k-no"
Vivi Chou,5,2025-05-19,1 年前,這家紅茶 也太順口了吧！完全不苦澀紅茶愛好者必喝👍 …,
Tina Lin,5,2025-05-19,1 年前,自由搭配讓你可以客製化製作自己的飲料～這次嘗試最近新推出的南瓜派奶蓋,
Kris Jiang,5,2025-05-19,1 年前,"忘記拍照，點了鮮奶蓋配南非國寶茶，無糖
我好愛，好喝。",
葉琇華,5,2025-05-19,1 年前,飲料上面的貓咪圖案很可愛，而且菜單上的選項很特別跟其他飲料店不同。飲料也好喝，店員的態度也很友善,
Yopta Houy,5,2025-05-19,1 年前,選擇南瓜派奶蓋，內含南瓜、肉桂、荳蔻、鮮奶、鮮奶油；等於至少有蛋白質、鋅、鐵、膳食纖維，感覺蠻健康的。👍,
抹茶紅豆,5,2025-05-19,1 年前,"今天去買飲料，店員非常親切，飲品也很棒，下一次還會再來。
（店裡很可愛，來拍一張）",
陳妤甄,5,2025-05-19,1 年前,喝到這裡的奶蓋，完全不會膩，讓人每次都想再來！,
Xuan,5,2025-05-19,1 年前,有5種奶蓋，來試試南瓜派奶蓋~,https://lh3.googleusercontent.com/grass-cs/ANxoTn3mpXQmfUey9QeM_qEfI9lOAtqkMKmgZ-lK_qhjlRHCB6imOdyZ0bJEjc2RN5QhEC1FzGOBKebnEk9q_bGzJGrYFLqFridFGpKdYc-nAiJcEZQkP5_GsthJ6JYPqmVHNUxCNrMCPA=w600-h450-p-k-no
姜彥瑋,5,2025-05-19,1 年前,"洋甘菊茶解渴
現在還有優惠
走過路過不要錯過",https://lh3.googleusercontent.com/grass-cs/ANxoTn1zyypSuS8qs95V_YcYrsnRxXtpOgT-jITQeN3reZVzU3bJGcq9rWgAYp0v9oMyJmTtjWvhNurRx7PDaAzzmC55OvAH-kWjgStDZAP-qwGujODGTnnbminvMOdX0dagGkHp9Gyz=w600-h450-p-k-no
Teresa,5,2025-05-19,1 年前,"奶蓋都很好喝，尤其是紫薯抹茶奶蓋
推薦抹茶控的人可以試試抹茶系列飲品，另外服務人員態度讚",
吳民事,5,2025-08-19,9 個月前,老闆娘好看，大腿的刺青很好看，對了飲料不錯,
Vivi chuang,5,2025-05-19,1 年前,"營業時間變短了~~~假日也沒有了🥹🥹🥹
假日沒得喝~~~~
拜託應徵成功，拯救短缺勞力",
Mandy Hsu,5,2025-05-19,1 年前,可可奶蓋很濃很好喝，老闆娘很親切服務很好👍,
葉名浤,5,2025-05-19,1 年前,蜂蜜蘋果紅茶好喝，店員服務非常好！！,https://lh3.googleusercontent.com/grass-cs/ANxoTn2aTdGsO3VvuARieZ0whsY862n7-cIYELpzSYMFkMEuGWVEf3QrKtLsYhMRl6tAc2JYScjunzvsVlEBYiJ_hJrB-zX41fYiKtDS5Ue1efBgbdxw-jq01VGGdOQj1O3se0WnGHA52w=w600-h450-p-k-no
SU HAN HSU,5,2025-05-19,1 年前,"很親切的服務，而且介紹超級詳細的👍👍
茶香也很舒服",https://lh3.googleusercontent.com/grass-cs/ANxoTn1xbyzJApUSiWrewNXbpSE4_5P0V7PyEMmod-2j876XuLdyHFahxeU_pxh4t8qKuwjmgWtEl6UJql41i3UCyruSMUBFb6Qp7lOWTtv0BqfrPR0UtI6X1iTqHIdmD5N1suszhEVOMQ=w600-h450-p-k-no
林羽羽,4,2025-05-19,1 年前,奶蓋濃厚，分裝外送也好喝，肯定再來！,
龍共 龔,5,2026-02-19,3 個月前,1/25 菜單,https://lh3.googleusercontent.com/grass-cs/ANxoTn10e-120_BSVXaCwMAuu3lvjwvsfsH7ogMkzJXqHav2DEGFIgUtADZVHtfpWvqTHJCxjW35JKWAbMmhK3D-eIAK6UfKe_Uqgt7lxJLDheT9pf-I4oFUQA5Kw7GvovloTFKxHFHZA5NV-80=w600-h450-p-k-no
曾尹澤,5,2025-05-19,1 年前,"店員都很友善
奶蓋很好喝
歡迎大家來試試",
澈,5,2025-05-19,1 年前,店員可愛！貓咪可以！,https://lh3.googleusercontent.com/grass-cs/ANxoTn1nX9rBXx9s8WIVE31Y0bUt-GP96vF9PvJZn65BjAiBTAu9q-24zBCHqjuJaKLTrqYbVeYF1f07YoiFkqB0QHaMAbCxob_pPRfXrHUvYJvyBJ3AHIYMwLu6ilqEt_5PoKILR9wo=w600-h450-p-k-no
