Username,Stars,Time,Text,Images
chen carsochen,1,2 年前,我是附近上班的熟客，餐點低油健康美味，份量可客製化，常找同事一起訂餐，漲價恢復供蛋後，剛剛買的便當綠葉青菜幾乎都黃掉了還給客人，不知道是否最後挑剩的，附近的全國素食還不敢這樣，真的讓我非常失望。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1TD_i4zGJXScKnRwZr1GZ8EjmYFycrumRVwv4cDP5FJrULejQ_0qL_F3CduM5vgKLl4JVYRXxMc7ckiIjNuKHkVtduidV8w6nRKUNW_hwOjbB-yxVC3_d6TzTNiOgMPPw2wFU3Kw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn26KEGfzuTF9Hofc2uyhtWgJmvuaomTOxgEEmDMXJSt9oAshZXfW79ZUVP6vXNz4uz1_Fckd6jGhFgniwgzefStLKfzMdQ3nSNw9i5rpG1elMRRScMHlPBnPopAnps3CKPiYwI=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0ADDEaJvhuITchBZPI4t2SBqP5w1sMb2L9kDlwvcXSQwATAc1eUawmvXTCgBSIgk5E3LBwufZ83Xnyzb0Gaf0JuPqy00sr-f_woqY0NJkNCqWZLvzyYm2EFwkx9ftyv_1WsoUE=w300-h225-p-k-no"
YiChen Chen,4,3 年前,"實際評分：4.5/5.0
到訪日期：2022/08/02，中午初訪
得知該店訊息： google map追蹤者推薦 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn18_nJKfPtbxBNPWWZZPSSjrg2I_FBJXi6pn4_CtAHaQqUPau0AT5rdsW9cvX3_mlx-54nTbjEmZ4u333V2oJx-EE8SQnFt-x8MhAwiVs3kahC5YyM3lA1FZF6dARaJKdOHBFJxHA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3KB1y4eYZRLW2hUqt9V1eKO_5hWcaSlSZJDIawfeav2-de1vDrzipzKFgiYzYAtE6X4w5S83HcwHYi-0LppV5bsaggMazVDjf0gHapPN5K7HH4-jv3lkrH1jhp0SjhogxYKx5a=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2XsXAw4DkvYmb3nytymNKyD5C58250nhgS8N-h6aWWOLLNrw8FGDuIK-hzPZC5gS4d8jzRYGJvcIoqhnV7N6lEsA1XK-jkGWkmURfPCpD2wMQfdq_v2q0rKXFcrg3Kv9pY6UO7=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1omiKgdaYbm2_ljLpz7nH_962lY5ebBJX87YdIzxazENJ2qxau85ylA7FMJ04n80eYMkGenu95mqOXv_11yxc5I_y3yY4MaBsf7BT2_5c_YhA7vwhRFTiGcDKQUb-U3oBawNsA=w300-h225-p-k-no"
宮本マリン,4,上次編輯：2 年前,"好吃，可是店員有點兇，後來她好像自己察覺太兇才改善口氣，希望可以注意些，不要影響大家用餐的心情

二訪：蝦子QQ的好好吃😋 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn1hlTUt4-VDV5qHrKw_ioq1vmMtlvxgiNHHFftjADMxUKmE5RbOLCs0wlJaQYpNREhnkiUrRsybJTtJeRV-zbA9Xvau7AchrNMzU7eSyaZ-jmCsVm3olVJr4wf-N9DpEhScUhEudg=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3eFdBmL2qz7ittWApuPnQmt2bq_-qvIksa0kxIqrTZjm3ziI-k0Fi1LSKIvFRy-Sr7aRSADDwNH6A3WCcA-f0W0WPqTjRMTRUx30QGlv3xOqajec89g8__0F3M0rrMffD65b0=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3CUgb9-mgmkL7NYUiVZz5PO6PxrwI5oIauLh86j3-XAJ1YMTSFpaL2Ju4JmOwn79t-OXhEdyoALqKnKogxFWfJXzfKVsj6Ique9gBfcte1Wx2SK8wDprgCzqn3m2XS6ddaMsL1=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0rhnR3j1CJEVjITSgw5qhUYUrBEXSfiCyXu-iEw4Qm-3fr3emVo5fCNrMrZeBqhAcmRs_YBnXr6TlJHHLIGfxez_tw2URIyEiMs4ANMTJktKoDTPzDZhiEr4J5ryKzxS3qfITj0A=w300-h225-p-k-no"
Crystal 綺,4,3 年前,"販售蒸煮烤、少油、食材原味的健康餐盒，
店內空間不大，但溫馨、乾淨、舒適。 …","https://lh3.googleusercontent.com/grass-cs/ANxoTn2nziIVoHhEHmutGZRgl5C0JBjiIFL_meRG0a9Wn2SqwyjjOGItI3nZOCY9xqPT_pNgVKO0FIp4x0ic1coNeNEptp5y7WKKcZEnW_L7uasrjPBIYdDPObaHcOt0DkISCCdBUu8n=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0FJ9Ml3U3mRJySkFjaKCTUuQ70mO7CmmsOjf7Sp2JExjb_Btsceb-yi1FV2DiV7NEDOQI0OU33_TBMoQQuuQbVnQ3VWTQ4eEwaPn-cF4uxJhlCupyb-8tqtCOqPUZ67WcX6cM9aw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0kbnvKh8ImJqOaYkqAHBzwoWSQljDuw9tnlYL4sQ3ljC3QUFm9RvTH555N7dl7DSPlYYfjOGmIWmc4iKAbKehH0TSLQK6zmHQkdILN5PLgW3bex6dRO1zTOEeajx4TtlZLybHl=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2jQFGCzAT3zD-w679_Tx0Z5QtboQsPDb44bTLSIeFPKztJEBqHCAy_WCUcP4PH8NgFPsO2P2LLWwJGcL2Yedrf1CHllyYvugAt8JHMshoESNQSbYKG3ioSKTn1kiSVBHZvaIjTIQ=w300-h225-p-k-no"
Anita H,5,4 年前,菜色豐富多樣，而且烹調方式少油少鹽低脂低醣，已經買了幾次，吃完後感覺飽足美味而且身體沒有負擔，軽爽舒服満足！值得推薦！尤其加上辣油更有獨特味道！疫情期間吃到這麼用心做的飯盒真的很開心！,"https://lh3.googleusercontent.com/grass-cs/ANxoTn2_dQ1Fbjkhe2bjm5h5NGc2iCKRRUERzFFTMI-mWbsnmWFcYI598nJEhNY4s_j3znAya2iwKYBHInspIT2wuS-Ib3N9JN07mNk6gbDq-ghW5F89Ehkece3SjR1iH7FHCL4XjZ6-=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2nlA5xfkl8DAnpDhkh2wvmi3CDXNpyMn3o1aYLiGqxCcOnEFHt89LjwuLXFvpRwNQW2dlhoajQd4Pp24yYNxXntOStnx-Q5S_X71WH_kKQViy1piURWUs_-XqkSQciVhudeZbtvQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0bJU0Gyf-knEsD-2rB2Gi2pep3bexcZ7zobyCBdmcn2TV4GWwyjFjU80i9z9_J0ASxaqd8FuC71Dxm3iwsB7QeKT84VprXW_-SyG1G_LCdw_3cWmIje4W0Y3YWpqjd8scYmTA=w300-h225-p-k-no"
Yasmine YEH,4,2 年前,"｜外型好看東西偏清淡的便當店🍱｜
便當的設計蠻好的，菜和飯會隔開，不會濕濕的，飯是紫米飯，我自己比較沒有那麼愛～菜還算不錯，偏清淡，但是地瓜🍠真的好不甜～ …","https://lh3.googleusercontent.com/grass-cs/ANxoTn3WVRaaHLxZyGZKexIYSKdY52ORBFMVbFKSpr8QotUluCHIkXb0uUflSG-7Om64JS2ybLfFwgiRH3pp5J2bZ8Gugd9761gtCguINgulyeGzQZGXk_CQLiF5OY4ZL5rLQYNb8XBY=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1uEvELauZ1Abs6iy-ijktEAlHOZ98kLHkrmjdHhwWfJhXSbDsxRMgx4FuIp7Su5opvqQiykLnJHvuH37F18g3EIiWeWT20qz_7KOai6V3qN9gFaSQTn1oSdQ8G1VnTm1bg8Y6VxQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1Ar4vgDX_V7xLMFyxkTK2KAVBwKqhFzxtddynhN1LwIAVnrl_y0wJ2SW88ObBoEOS3hGKIMtH3cbCCxX1--PKlz4NzH6u_XdenMawRYRNuaZ5eFB_YK3PNwNVUmO7mImVB3NCz=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0HZA8Itg_Nwg1jTSVwt3xOqZ_7CI9tra2nYNUld1yspF2UtxqqD7wHMUPvIlJj698R9jaqLq-aZEhrZ4bwt_0zgpTCdNIJIlHJ_Eu56EJvurPyBZpZPnFg3sCfB0_NNaYCwkhzbg=w300-h225-p-k-no"
Boo,2,上次編輯：11 個月前,"事隔一年回訪
事先有詢問店員 蝦子是否是QQ泡過藥水的
店員說不是 …",https://lh3.googleusercontent.com/grass-cs/ANxoTn2kdCWs6jCGdBgXMYM7IIz37_g6Du5EY-1gI3qVXaoQXmKaBVJMb-Mi2_LpOqubJnFj_2G3ttAZPy55cbOUgHuoGJR-tVxZTss1gOTRpIQ27aLc-YPwTunr_c16DuchQRyB48GR=w600-h450-p-k-no
Eika Yu,1,11 個月前,"這是一家我們全家都喜愛的店。忠孝和金山分店都吃過。忠孝我們一直很滿意，但是。。。
這次在金山購買，是晚餐時間前到。訂購時就看到後方廚房堆很多食物。店員都在聊天。感覺就不是很良好。
回家打開餐盒，發現一隻死掉的果蠅在滷蛋上面。因為食物上都有胡椒，其實很容易沒看到而誤食。感覺很差...讓人擔心衛生問題。覺得店員在裝盒時至少要檢查一下。","https://lh3.googleusercontent.com/grass-cs/ANxoTn2VXEYuueJPlx9hOuE6TFWHvl9x0CIr-zswf8cq2kDuQUw-O8ae6s8rN0zDpSWkaWGBAJfxlrSKJZBylvSy8_lqzRjOggaKxVUtptXwCtxB-b_z5_dSTPPIlXem1UYFipLXKp8=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0Jn1_MESIgOVqzJFE1fegh4DXvjfQOrdKHjsZyyOR7qJrX4p3ZZ53ZrWolO0T1717rqHkE5_WUhwuOvQG5pdB3TNooIoTOxLkRYv4X7VlDZhdlZfrNl5JOEO9EiEVXvIa8RydgWw=w300-h450-p-k-no"
Gina Chen,5,10 個月前,"雞胸、雞肉絲便當都很不錯
配菜給的大方
整體調味蠻好的","https://lh3.googleusercontent.com/grass-cs/ANxoTn0V6kHtHUeKSgEV6UaU5FL-LjnnNsE7M9OTxCMEvr8kYYoIvn4CSwoC8HLpOv_AkOnJ0exwbcGtYCi4hORElRbMR2mZjiuV1Ivlt3sLk2LbVbeLQeg2LFK0uTR-OIIU0pQI0dSsgmHj4Z4o=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2UIzJOsUqb1j4NipWm4xXBhd0iKP7tRdP91ec5OwhAtxILj-7gGbxp2z2Tz1m5_vsGk_zlgSYcfOra0iq7hRN1c4kQQmHNdzFgPSQ33yjbIoVwZs4e-s281IoB7maMFw4mTHzRMI7iG50r=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0hSITFvwhyWGelbLqjQ0Ii91aR3ZXaITuuQQqqeReUHiguYgXGJfkHh1iGnykmybXnpWAmGJWuehMuug13QALaVkH-iFQ1Vxs8gWRtQ2W_aYtpfPoUcExKz4i3alvPtdKcXVw7G4hnOLgW=w300-h225-p-k-no"
TC,3,6 個月前,餐點好吃。但即使內用也都是滿滿一整組的免洗餐盒，不環保的狀況高於多數店家，這也是我盡量避免去吃的主因。,
