Username,Stars,Time,RawTime,Text,Images
翁婉琦,5,2025-05-19,上次編輯：1 年前,"便當內容不油膩鹹度適中，香料雞很少在別家便當店看得到，很特別也好吃！
服務人員很親切有耐心，","https://lh3.googleusercontent.com/grass-cs/ANxoTn0SG41MTX3MbasM0XB_FPscoV0xj_vmrVw3CVgJpVvikjQv-aSkJPQ65usImUYRYUoP1xA2u0j0GPNX6Q4rwaYEvqDceslYJEN0F7uIZ5_LSISCT9Bw4XkvUnwL970aQMoVloBb=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn00gbCuIQxk8RxnwCu4eduffT11F7QO1TB4WWrShYCzUMRClI7Iuea6FYB8xHEmZ6XkXR25nelbmNkM5F8QsXO2Q1C5Tg-llbhyEc6uZBIunZxbIksmcLlYjjqtr9dB12cOCu0Dzw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn36xj-gCHturg5r3U_PDmPFHpaQDqce-SPDpXvip1yX7vpfHvWWH6jFFTXBZJkT4lPCKg8owmZSsQzUd5G6saASqZMplp00D5oufG6Vf7eKmroPy-P8z1gwiAVABgL9VmoqqvM=w300-h225-p-k-no"
王藝臻Elise,4,2025-09-19,8 個月前,今天外送便當吃到，口感還不錯，很新鮮的味道，不過台式蔥爆豬我以為是肉片結果是絞肉，飯是黎麥飯，簡單美味無負擔,"https://lh3.googleusercontent.com/grass-cs/ANxoTn22kJOlPXXsWUR_95BPwlZZ7nwJFqk7N2CylBRNfmAd26X6UOYPWItoOdtEzRtvL1oE05nMM75Bc_By516HqewfdbucRgQs1x7-sfdOtMLWCmQ_nQF3h-TnfJAi20D1A3lJvtLhnoBnJdQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1oVrKiXgcAAwiu98ewzv0Aaxr3LNrOLkzMcSpEtEn9xw2e9P4OLjH3AK4Q_Y90v61PFR0mkHGC72yw9uchObE4HCMWXXhXn4Zx9jzoHVyBNdqpM6AhsAoiGu3nekzz5vIdSIFiAGBmHi8=w300-h450-p-k-no"
水豚特務,5,2024-05-19,2 年前,"公司開會訂的便當，健康少油味道還不錯

🌟異國雙醬雞（$120）
印度香料雞與韓式辣雞雙拼，應該是用舒肥雞肉為底，不油膩，配菜也很清淡，算是健康餐盒吧","https://lh3.googleusercontent.com/grass-cs/ANxoTn3nWpo2BqdDHxhJBUTwI4-QTrvXZ2r77MdXVvKI32i3zqvfhPVOLPwuGUg_UHCltPQwYknfYz1WHm7VRO110Cdz2OpoKHNcLWsbwv2n6ABbgkL1hg_G7QEr44jofDV3sQeRygETRw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0FB30MuKcfkNwLxz0z3q_TtQhm-axrRtUgum5IGzGvodjtTIGf9XpofaBrCxjr8DJT2tON2nHx-PcexfA51ymERLEdHZzjCVZ-FmCnGfryAhDJZzHmwoN4_vVbnxtv_dyOUvew=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1s2ASGXrHBkSleyoC27jwO-b8rafBk6YsW3yBM22hD5qTPzADzOsvE9jD4UJkzZiTYYwOXEod-v5lil7f8Tz5FmBetPP94ELcltF8zjusExv_qIlLBEoKdNW8CFfqm2BkRVPxWBA=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn395-mZxN8PdyoK-FE13qWtqbUu_T1cghEPYH3hdBTIsfHkSZqVwMb2YlhHEoHqk9VXpwXZ9xecEwQZ1TU_mQppeVkH96--2Nu1lDHM7W_pDbCJhwALFVu8ZVh28ygTJJyL71gb=w300-h225-p-k-no"
Dommy Hwang,5,2025-05-19,1 年前,雪花牛便當130，牛肉鹹度剛好、下飯又不會太鹹，地瓜軟不會乾，喜歡莧菜好吃，還有免費南瓜湯。現在評論還可以送一份單點超划算，送的還貼心問敢不敢吃辣，超棒。,"https://lh3.googleusercontent.com/grass-cs/ANxoTn3CjOsErFTYhqZVbI8MjVSn11Vc-L7HfEHwKoEiVYZzNBhfN3b9dSv20sUgpOXk9ImdS4UcggCPSWm9kDrwhY9LHGc2WyPu-Ghnyd23raPmwmcVBytF6d5HlfB3k7DAgFrTxK8OUQ=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1QcRAHGNYsrjbqGauVOzuiY3GYzxMBeDxQqSqFmhDytiqTajoVlCZkTaPJ46Mlsse4NYic5FOKEMFI9YjV2Yuo7leqbqFQ8Mgv6XzMKYUl5_U2bUChoEWwT-2pewP78aOuocGO=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3l3GSLlnEkp2rqzFmbGQt-N2BpmBVl_6lOa2M9K2Gqvd-_UAjEfDzlSZgMb0lXubIEFSYN6oWr45MPjq30Iq0gH6Lo75UOIlMzQkux3EeS9RW2f5CjVfFkFGz3eoo6Qm_VZj3k=w300-h225-p-k-no"
Renee Tung,4,2023-05-19,3 年前,"以健康餐盒來說這家的價格算OK
米飯是好吃的，整體是非常少油的
青菜很像家裡煮的，感覺挺健康的
但主菜不知道為什麼覺得怪怪的，不合胃口嗎？
不太會形容。
內用有湯可以喝，環境非常的乾淨整潔。

不過建議還是注意一下頭髮問題。","https://lh3.googleusercontent.com/grass-cs/ANxoTn0BppBHIqMiQVfIXWoNrhIwyH-GfgkG9Jq0IMFGBQ5b8ZrSInNqY_z8-SFccdI9OQ3jDPUBcy9qajZrKIrI2A_fqUmu0mlfHanCOjibxeAo-gG5mBnWKnO6kY9CzfHSMIquS_Rn=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn2TsgiWr16UYnPru6qVgRrejBzoB8sjH6bECJ8tkxU9WbYztXiLHGq6L_1t6zZVUC-UnZn7AqUzHzlUQxJTyBVl70LjE_hsmIGFVqI7HCm9je6IhZ_sT63kFRUNVf_c1LufePjAIw=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1w1AM3qf7HaydBd23YT7irIv7JVxwwfMW-5ILKLXeu5GYQjxsRfMKk6uZxQT0AzQtdlY3CVlp-4NEJF_d6AqFY3xJ6C60blzEfVBn7LrQMr4rs00hv8wzEA0l4cWg3ngDn-MJ7=w300-h225-p-k-no"
Slash Huang,4,2024-05-19,2 年前,"有5~6個位子
環境乾淨裝潢很新
有LinePay支付

*異國雙醬鷄120元
很入味屬於重口味，非常下飯
整個吃起來還可以","https://lh3.googleusercontent.com/grass-cs/ANxoTn3ORggpeQ_LsH7a5G-0pL2d7YOSW9Ozpb0i3R4gat5FejNtrTsaDUd9cYyQCGaVbG2bWk9nIAu5piB7gdMH3CgtucFuuCovnHUXOA88kN0bya0XEe_22OCL4Jyi_oYMaVO4xXey=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1wccUoEUWB4qhreOMYuEENntrAA-aUt33Ksg5QpWgQE3DcRK2fSpZXTegntm5UttA1hkTOGZv44zZjnWzehc7uwgVoP7VS9edO_uSXrAtUP6Jvz6GWqle0BcduT9SN_kHF1a0d=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn138dqyxUipbZ-iXO_0xh5fTbx_tX5EV9rsWE5IIHut_-Ph1BV1os4skCLNTNaQvHFMBCciM8dQYcQH9QEuNmnwztZusuqytOt6XitWG6A7EpjaPwXyITs-fb9xVf7dmqlsh_cDZQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn00WMGZpl2RD-NmWbydN3uNQkpPSuc_tcHtVe6C0APqspGhasn9EpVplvWrGssFcpBdVCDuHankuEIKQiEVj5OX5wLkcwECtZR-YCd_qhKC64oL71r4yvfrPkTSSqbdgGjYRTYg=w300-h225-p-k-no"
楊子瑩Maggie,5,2024-05-19,2 年前,"來吃過兩次
一次點香料雞
這次點雙醬雞
雞肉味很香
是屬於健康餐盒
內用外帶都有湯可以喝
湯裡面有雞骨可以啃","https://lh3.googleusercontent.com/grass-cs/ANxoTn1SvrT6tDTKWT7hrCpFICGKIU5D01cQl52tMjEfkXEdv4jCpoU2Puowcma1GsOMojX5iYzXOjmyKta4uIkoSNaGyHrzIOyJOmyHQu1S4gwRt_Xmu0xmsxXVO_iXzoKsqNiuXBCmUw=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn0lYSll4PBrgTw8X0bhEzbaUFwyH6x9wZbmodVlEEivqyBStplty9RvhhF4vz4QrUI7PuQoy-3YRa3PqrhMRSfHsodLm-JhyRef2rDR1yvexJS_Z4fpSG5ItSyayB0-lleR0x0=w300-h450-p-k-no"
PEI-CHEN HSIEH,5,2026-01-19,4 個月前,"5星評論有隨機贈送單點。
店內油煙味不重，主打蒸烤箱式料理，希望好吃。",
Yun Ying,5,2025-05-19,1 年前,雙醬雞非常好吃，沒有過度調味！椒鹽杏包菇也好吃～～味道很足夠，整間店乾淨明亮，店員也很親切！,https://lh3.googleusercontent.com/grass-cs/ANxoTn0i1CR2-5jIx4kgu0BNG_b5tb9bJklRifs-O-DOcDwT7B73p9PSCCB3k2MTJhnHQBa1t6oIfJ0ixc-czavRbvFyrh7lq21teDKCu40irhmYH-ywezSBH2FWdgZAVyo0qNLMYDCg=w600-h450-p-k-no
Wei Lin,5,2024-05-19,2 年前,有註明食材的來源感覺相當用心，飯是有點藜麥的白飯，蔬菜份量蠻多，口味不錯，吃起來像介於健康餐和普通便當,"https://lh3.googleusercontent.com/grass-cs/ANxoTn1AjJ1K7AHYJ1AoRRhYqTLUQJ_9BD_NTFKROeZGhuekAb51idapzuGFBlo0USh0iAlCoiHH5-I3LvMEEikB5U30cFuuQVUDYvV32HZ1WnTTCrYndpcMXWeH8hcYcCi1yN8GG_pa=w300-h450-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn1yOQE7Tq0ldYGUWz13DFaMRUu2CfbS64UYDYd3CJF1I_kYkmN_bweEdk8wZpe3vPsdfFVTruHD3aFHe69mlwA2hrLi2q__NrJD50qfaL00BpEXZO8v4K4GNh5l0nALrCUJTivHTQ=w300-h225-p-k-no, https://lh3.googleusercontent.com/grass-cs/ANxoTn3aB3veObbmSBcwtoleTWJqEWdq955pts5OGsuXw8VE-Lh_ei5XvbQCcSVtR61clERTJlq2aGUEPZbAhjKj76XztHlyrH-2GaSEtftKJCCRkqnpnan2FXaKUuF7L2iKgNLmNv8=w300-h225-p-k-no"
